event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
19th Asian Games,2023-09-30,61 kg Men,YODAGE Dilanka Isuru Kumara,56.18,100,106,-112,130,135,-140,106,135,241
19th Asian Games,2023-09-30,61 kg Men,USUKHBAYAR Chagnaadorj,59.79,104,-108,-110,-135,-135,-135,104,0,0
19th Asian Games,2023-09-30,61 kg Men,SILACHAI Theerapong,61.00,-128,-128,-128,0,0,0,0,0,0
19th Asian Games,2023-09-30,61 kg Men,DING Hongjie,60.99,-133,-133,-133,0,0,0,0,0,0
19th Asian Games,2023-09-30,61 kg Men,ALSALEEM Seraj Abdulrahim M,61.00,124,128,130,156,-162,-162,130,156,286
19th Asian Games,2023-09-30,61 kg Men,HIRAI Kaito,60.82,112,117,-120,140,145,150,117,150,267
19th Asian Games,2023-09-30,61 kg Men,KAO Chan-Hung,60.99,118,121,124,147,151,-154,124,151,275
19th Asian Games,2023-09-30,61 kg Men,SAPUTRA Ricko,61.00,-128,-128,128,160,-167,-170,128,160,288
19th Asian Games,2023-09-30,61 kg Men,TRINH Van Vinh,61.00,128,-131,-132,164,-170,-170,128,164,292
19th Asian Games,2023-09-30,61 kg Men,NGUYEN Tran Anh Tuan,61.00,129,-132,132,157,-161,162,132,162,294
19th Asian Games,2023-09-30,61 kg Men,CENIZA John Febuar,61.00,128,131,134,-163,163,-167,134,163,297
19th Asian Games,2023-09-30,61 kg Men,KIM Chung Guk,61.00,-127,-127,127,-168,168,171,127,171,298
19th Asian Games,2023-09-30,61 kg Men,LI Fabin,61.00,137,141,143,167,-171,-171,143,167,310
19th Asian Games,2023-09-30,61 kg Men,PAK Myong Jin,61.00,131,-136,136,166,171,-175,136,171,307
19th Asian Games,2023-09-30,61 kg Men,SANO Kyotaro,60.99,116,121,-126,-142,142,-146,121,142,263
19th Asian Games,2023-09-30,67 kg Men,TRAN Minh Tri,66.96,-130,130,-135,0,0,0,130,0,0
19th Asian Games,2023-09-30,67 kg Men,BAE Moonsu,66.95,-128,-128,-130,0,0,0,0,0,0
19th Asian Games,2023-09-30,67 kg Men,CHEN Lijun,67.00,-145,145,150,175,-180,180,150,180,330
19th Asian Games,2023-09-30,67 kg Men,CHANTRI Witsanu,67.00,-136,-136,0,0,0,0,0,0,0
19th Asian Games,2023-09-30,67 kg Men,IRAWAN Eko Yuli,66.98,-142,145,-148,-175,-175,-175,145,0,0
19th Asian Games,2023-09-30,67 kg Men,ENKHCHIMEG Duurenjargal,66.49,-113,113,-120,128,133,-138,113,133,246
19th Asian Games,2023-09-30,67 kg Men,TAIIROV Elzar,66.91,110,-115,-115,132,137,-141,110,137,247
19th Asian Games,2023-09-30,67 kg Men,ULAANTSETSEG Amarbayar,66.77,114,118,122,-141,141,-145,122,141,263
19th Asian Games,2023-09-30,67 kg Men,KHREBTOV Petr,67.00,125,-130,-130,-150,150,-155,125,150,275
19th Asian Games,2023-09-30,67 kg Men,AL BUSAIDI Elyas Tamim,66.27,118,-122,-122,147,152,157,118,157,275
19th Asian Games,2023-09-30,67 kg Men,MURATBEK UULU Ishimbek,66.79,110,115,119,150,155,158,119,158,277
19th Asian Games,2023-09-30,67 kg Men,RASHIDOV Bunyad,66.29,140,-144,-145,158,-163,-163,140,158,298
19th Asian Games,2023-09-30,67 kg Men,YOKUBOV Doston,67.00,133,-137,137,174,177,179,137,179,316
19th Asian Games,2023-09-30,67 kg Men,LEE Sangyeon,66.86,132,-137,137,175,178,180,137,180,317
