meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Rudy Sablo Memorial,2014-09-21,Open Men's+105 kg,Nicholas D'Agostino,120.6,125,131,135,160,170,175,135,175,310
Rudy Sablo Memorial,2014-09-21,Open Men's 105 kg,Jacob Leivent,100.2,130,135,-137,160,165,-170,135,165,300
Rudy Sablo Memorial,2014-09-21,Open Men's 105 kg,Daniel Russell,104,120,125,-130,-160,160,-168,125,160,285
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Brian DeGennaro,74.8,115,120,125,140,145,150,125,150,275
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Michael Basciano,74.6,112,115,-120,140,0,0,115,140,255
Rudy Sablo Memorial,2014-09-21,Open Men's 85 kg,Joshua Martinez,85,105,110,-115,130,135,-141,110,135,245
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Michael Di Giorgio,75.9,105,110,-115,125,130,135,110,135,245
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Benjamin Barnes,76.8,-100,100,105,130,135,138,105,138,243
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Frank Russo,76.9,100,105,-110,136,-143,-145,105,136,241
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Sergio Spiridigliozzi,75.2,105,-110,-110,130,133,-137,105,133,238
Rudy Sablo Memorial,2014-09-21,Open Men's 85 kg,Kevin Prowse,84.54,98,98,103,120,125,128,103,128,231
Rudy Sablo Memorial,2014-09-21,Open Men's 94 kg,Michael Castaldy,93,102,107,-112,-115,115,120,107,120,227
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Junaid Hamin-gilliam,76.4,93,98,100,122,127,-136,100,127,227
Rudy Sablo Memorial,2014-09-21,Open Men's 85 kg,Daniel Casey,78.4,100,-105,-105,125,-132,-132,100,125,225
Rudy Sablo Memorial,2014-09-21,Open Men's 85 kg,Justin Ciaburri,84.2,92,97,-102,120,125,128,97,128,225
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Cole Fandale,74.6,85,90,95,115,125,130,95,130,225
Rudy Sablo Memorial,2014-09-21,Open Men's 94 kg,Neil Gallares,92.1,91,96,-100,118,125,-130,96,125,221
Rudy Sablo Memorial,2014-09-21,Open Men's 105 kg,Justin Moore,102,90,95,100,110,115,120,100,120,220
Rudy Sablo Memorial,2014-09-21,Open Men's 94 kg,Philippe Thomas,87.9,85,92,100,110,118,-125,100,118,218
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Greg Mead,75,88,92,95,110,115,120,95,120,215
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Jeremy Brinkmann,73,88,92,94,111,115,120,94,120,214
Rudy Sablo Memorial,2014-09-21,Open Men's 85 kg,Eric Leon,83.3,-89,89,95,111,117,-123,95,117,212
Rudy Sablo Memorial,2014-09-21,Open Men's 94 kg,Demetrius Drakopoulos,89.9,91,-98,98,111,-116,-118,98,111,209
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,William Chang,75.4,85,90,-95,110,117,-126,90,117,207
Rudy Sablo Memorial,2014-09-21,Open Men's 69 kg,Peter Kim,68.54,84,90,95,100,102,-110,95,102,197
Rudy Sablo Memorial,2014-09-21,Open Men's 94 kg,Juan Miguel Hernandez,87.6,-85,85,-90,101,103,110,85,110,195
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Gabriel Yanez,74.9,81,-85,-85,-105,105,110,81,110,191
Rudy Sablo Memorial,2014-09-21,Open Men's 69 kg,Chris Provost,67.16,77,82,86,92,97,101,86,101,187
Rudy Sablo Memorial,2014-09-21,Open Men's 85 kg,David Goddard,79.92,70,75,-80,96,102,111,75,111,186
Rudy Sablo Memorial,2014-09-21,Open Men's 85 kg,Genry Milskiy,80.5,-80,-80,80,100,-105,105,80,105,185
Rudy Sablo Memorial,2014-09-21,Open Men's 85 kg,William McCarthy,84.5,-80,80,85,92,-97,97,85,97,182
Rudy Sablo Memorial,2014-09-21,Open Men's 69 kg,Jeffrey Chen,68.76,80,83,85,95,-99,-100,85,95,180
Rudy Sablo Memorial,2014-09-21,Open Men's 94 kg,Kenneth McAfee,89.6,75,80,-83,91,95,97,80,97,177
Rudy Sablo Memorial,2014-09-21,Open Men's 77 kg,Alberto Simon,72.1,73,-78,-78,93,98,103,73,103,176
Rudy Sablo Memorial,2014-09-21,Open Men's 105 kg,James Barry,100.2,75,-78,-78,95,100,-102,75,100,175
Rudy Sablo Memorial,2014-09-21,Open Men's 85 kg,David Urovish,84.82,75,-80,-80,95,100,-105,75,100,175
Rudy Sablo Memorial,2014-09-21,Open Women's 69 kg,Nicole Roggow,67.7,-40,70,74,93,98,-100,74,98,172
