meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Norwood/North Shore Meet,2018-04-21,Open Men's 77 kg,Albert Chang,73.8,95,100,-105,115,120,-127,100,120,220
Norwood/North Shore Meet,2018-04-21,Open Women's 90 kg,Katrina Marsan,87.6,52,56,-58,-71,74,75,56,75,131
Norwood/North Shore Meet,2018-04-21,Women's Masters (45-49) 63 kg,May Curran,61.7,29,31,34,47,50,53,34,53,87
Norwood/North Shore Meet,2018-04-21,Women's Masters (50-54) 58 kg,Monica Smith,54.8,28,30,-32,38,41,44,30,44,74
Norwood/North Shore Meet,2018-04-21,Women's Masters (55-59) 63 kg,Donna Drinkwater,61.7,24,-27,-27,32,36,-41,24,36,60
Norwood/North Shore Meet,2018-04-21,Women's Masters (55-59) 63 kg,Susan Wong,58.8,21,-23,0,-31,31,0,21,31,52
Norwood/North Shore Meet,2018-04-21,Open Men's 77 kg,Roger Hachez,76.6,50,-52,-52,-62,-62,-62,50,0,50
