meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
TWNY Spring Fling Open,2015-04-12,Open Men's 105 kg,Geoffrey Grambo,104.6,120,127,-132,155,162,-167,127,162,289
TWNY Spring Fling Open,2015-04-12,Open Men's 94 kg,Anthony (Tony) Kalisz,91.7,115,120,125,-150,150,-155,125,150,275
TWNY Spring Fling Open,2015-04-12,Open Men's 85 kg,Vinnie Hoffman,78.6,102,105,110,136,140,-147,110,140,250
TWNY Spring Fling Open,2015-04-12,Open Men's+105 kg,Scott Baxter,106.8,103,-107,-110,133,-140,141,103,141,244
TWNY Spring Fling Open,2015-04-12,Open Men's 77 kg,Scott Schuster,75,-100,100,104,127,132,-137,104,132,236
TWNY Spring Fling Open,2015-04-12,Open Men's 85 kg,Matthew Parina,85,97,102,-107,125,-130,130,102,130,232
TWNY Spring Fling Open,2015-04-12,Open Men's 94 kg,Marc Gonzalez,93.6,90,95,-97,126,131,137,95,137,232
TWNY Spring Fling Open,2015-04-12,Open Men's 105 kg,Maxwell Radley,95.5,93,98,103,120,-125,126,103,126,229
TWNY Spring Fling Open,2015-04-12,Open Men's 85 kg,Myles Buhner,84.1,100,104,-107,-112,112,120,104,120,224
TWNY Spring Fling Open,2015-04-12,Open Men's 105 kg,Frank Fonseca,95.4,-90,90,95,117,122,127,95,127,222
TWNY Spring Fling Open,2015-04-12,Open Men's 85 kg,Mark Kroll,83.2,90,95,-100,120,-125,125,95,125,220
TWNY Spring Fling Open,2015-04-12,Open Men's+105 kg,Matthew Brumbaugh,113.4,85,95,-100,110,120,-125,95,120,215
TWNY Spring Fling Open,2015-04-12,Open Men's 94 kg,Daniel Denny,88.9,85,90,-95,110,115,120,90,120,210
TWNY Spring Fling Open,2015-04-12,Open Men's 94 kg,Curt Kirchmaier,90.1,82,-87,87,107,113,-117,87,113,200
TWNY Spring Fling Open,2015-04-12,Open Men's 85 kg,Casey Mehlenbacher,81.8,-86,88,-93,105,111,-119,88,111,199
TWNY Spring Fling Open,2015-04-12,Open Men's 85 kg,Drew Miller,81.9,79,-80,80,111,114,117,80,117,197
TWNY Spring Fling Open,2015-04-12,Open Men's 105 kg,Matthew Evangelista,97.7,75,82,-86,100,112,114,82,114,196
TWNY Spring Fling Open,2015-04-12,Open Men's 85 kg,Zach Switzer,80.9,-84,-89,89,100,106,-112,89,106,195
TWNY Spring Fling Open,2015-04-12,Open Men's 85 kg,Max Reiser,84.7,75,80,85,95,100,105,85,105,190
TWNY Spring Fling Open,2015-04-12,Open Men's 69 kg,Matt West,69,75,80,85,90,95,100,85,100,185
TWNY Spring Fling Open,2015-04-12,Open Women's 58 kg,Alexa Colwell,57.8,66,70,72,82,88,0,72,88,160
TWNY Spring Fling Open,2015-04-12,Open Women's 69 kg,Kaley Vazquez,68.9,63,68,72,-77,77,85,72,85,157
TWNY Spring Fling Open,2015-04-12,Open Women's +75 Kg,Sarah Fredette,89.1,-53,53,-57,62,-66,67,53,67,120
TWNY Spring Fling Open,2015-04-12,Open Women's 58 kg,Kathryn Michalko,56,42,44,46,59,61,-63,46,61,107
TWNY Spring Fling Open,2015-04-12,Open Women's 69 kg,Katie Ford,67.7,42,44,46,59,61,-63,46,61,107
TWNY Spring Fling Open,2015-04-12,Open Men's 85 kg,Chris Beck,83.6,-74,-74,-74,88,-93,-93,0,88,88
TWNY Spring Fling Open,2015-04-12,Open Women's 63 kg,Samantha Trojan,60.1,37,-40,40,47,-50,-50,40,47,87
TWNY Spring Fling Open,2015-04-12,Women's 13 Under Age Group 53kg,Scarlett Hanley,52.6,20,24,27,30,34,-37,27,34,61
