meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
May 21st 2022 competition,2022-05-21,Open Men's 109kg,James Winkelman,107.75,120,-125,125,153,162,-165,125,162,287
May 21st 2022 competition,2022-05-21,Open Men's 96kg,Evan Melendez,96,-115,-120,120,143,146,-150,120,146,266
May 21st 2022 competition,2022-05-21,Junior Men's 89kg,Nathan Fassett,88,93,96,-98,116,-120,-121,96,116,212
May 21st 2022 competition,2022-05-21,Junior Men's 73kg,Will  McFadden,71.5,78,82,85,115,120,125,85,125,210
May 21st 2022 competition,2022-05-21,Open Men's 96kg,Dylan hunter,94.6,-80,80,-85,100,105,110,80,110,190
May 21st 2022 competition,2022-05-21,Men's Masters (50-54) 89kg,Jason Fogel,87.65,-81,81,-86,-101,-103,105,81,105,186
May 21st 2022 competition,2022-05-21,Men's 16-17 Age Group 81kg,Dustin He,79.3,70,75,78,100,105,108,78,108,186
May 21st 2022 competition,2022-05-21,Open Men's 73kg,Nicholas Fayette,70,75,78,81,90,95,100,81,100,181
May 21st 2022 competition,2022-05-21,Men's 16-17 Age Group 96kg,Gideon Sullivan,94.75,65,70,73,91,94,96,73,96,169
May 21st 2022 competition,2022-05-21,Open Women's 81kg,Samantha Wantz,80.15,48,-53,53,70,75,81,53,81,134
May 21st 2022 competition,2022-05-21,Open Women's 87kg,Catherine Gibson,87,52,-55,55,65,68,-70,55,68,123
May 21st 2022 competition,2022-05-21,Open Women's 71kg,Chelsea Lund,67.55,40,44,48,54,58,63,48,63,111
May 21st 2022 competition,2022-05-21,Open Men's 102kg,Nicholas Tanner,97.9,45,-48,48,52,57,60,48,60,108
May 21st 2022 competition,2022-05-21,Women's Masters (40-44) 87kg,Rafat Fields,85.35,43,-47,-47,-58,58,-63,43,58,101
May 21st 2022 competition,2022-05-21,Women's Masters (35-39) +87kg,Melody Weaver,127.65,38,40,-47,56,59,-64,40,59,99
May 21st 2022 competition,2022-05-21,Women's Masters (40-44) 87kg,Rebecca Timm,83.5,36,-39,40,50,53,55,40,55,95
May 21st 2022 competition,2022-05-21,Women's 14-15 Age Group 71kg,Evie Schumacher,66.05,27,30,33,37,39,-43,33,39,72
