meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
PFP Pride Meet,2026-06-06,Men's Masters (40-44) 110+kg,Mateo Villa,122.7,133,137,-141,165,-170,-175,137,165,302
PFP Pride Meet,2026-06-06,Open Men's 94kg,Nicholas Shi,88.35,102,-106,107,127,133,-140,107,133,240
PFP Pride Meet,2026-06-06,Men's Masters (35-39) 110kg,Maxwell Anderson,99.25,95,100,-104,120,-125,-130,100,120,220
PFP Pride Meet,2026-06-06,Open Men's 110+kg,Jordan Shulman,111.8,90,-95,-95,110,115,121,90,121,211
PFP Pride Meet,2026-06-06,Open Men's 88kg,Jeffrey Stenhouse,87.35,-90,90,-94,103,-108,-112,90,103,193
PFP Pride Meet,2026-06-06,Men's Masters (35-39) 79kg,Patrick Jacobs,77.35,77,81,85,96,101,-105,85,101,186
PFP Pride Meet,2026-06-06,Women's Masters (35-39) 77kg,MATTIE FLICKINGER,75.85,75,78,-81,95,100,105,78,105,183
PFP Pride Meet,2026-06-06,Open Men's 79kg,Uriel Martinez-Morales,76.95,63,67,71,84,-88,90,71,90,161
PFP Pride Meet,2026-06-06,Open Men's 110+kg,Will Cangialosi,131.35,58,62,67,78,82,87,67,87,154
PFP Pride Meet,2026-06-06,Junior Women's 86kg,Abigail Malkin,83.35,60,63,-67,75,79,83,63,83,146
PFP Pride Meet,2026-06-06,Open Women's 86kg,Jacqueline Rojas,82.85,60,63,65,72,75,-78,65,75,140
PFP Pride Meet,2026-06-06,Women's Masters (35-39) 77kg,Minna Ranjeva,69.45,55,58,61,73,76,-79,61,76,137
PFP Pride Meet,2026-06-06,Women's Masters (35-39) 86+kg,Felicia Bright,89.85,55,58,62,75,-79,-81,62,75,137
PFP Pride Meet,2026-06-06,Open Women's 77kg,Santina Schiaretta,69.65,52,55,59,69,73,77,59,77,136
PFP Pride Meet,2026-06-06,Open Women's 86+kg,Brittley  Ball,107.05,-53,53,-55,75,79,83,53,83,136
PFP Pride Meet,2026-06-06,Men's Masters (35-39) 110+kg,Zachary Palomo,113.25,50,53,58,68,72,76,58,76,134
PFP Pride Meet,2026-06-06,Women's Masters (35-39) 77kg,Georgina Moss,70.1,56,59,61,68,-71,73,61,73,134
PFP Pride Meet,2026-06-06,Men's Masters (45-49) 94kg,Ryan Sullivan,91.1,45,48,51,65,68,-71,51,68,119
PFP Pride Meet,2026-06-06,Women's Masters (40-44) 63kg,Michelle Woogen,63,47,50,-54,60,64,68,50,68,118
PFP Pride Meet,2026-06-06,Women's Masters (40-44) 77kg,Tera Stodolka,76.6,42,45,48,57,60,64,48,64,112
PFP Pride Meet,2026-06-06,Men's Masters (50-54) 79kg,David Magaro ,77.25,42,45,48,58,62,-64,48,62,110
PFP Pride Meet,2026-06-06,Women's Masters (45-49) 86kg,Kelly Krieg,77.1,32,34,36,47,49,52,36,52,88
PFP Pride Meet,2026-06-06,Women's Masters (35-39) 58kg,Mary Hon,56.7,25,27,28,34,37,40,28,40,68
PFP Pride Meet,2026-06-06,Women's Masters (55-59) 69kg,Rebecca Joyce,65.65,22,24,26,27,30,34,26,34,60
PFP Pride Meet,2026-06-06,Open Women's 77kg,Julia O’Brien,71.95,20,23,26,-26,28,-31,26,28,54
PFP Pride Meet,2026-06-06,Women's Masters (35-39) 63kg,Jennifer Sakanich,60,-38,-38,-39,50,53,57,0,57,0
PFP Pride Meet,2026-06-06,Women's Masters (35-39) 77kg,Sian Rankin-Turner,73,36,39,42,-45,-47,-47,42,0,0
