meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
The Miller Gym In-House Invite,2020-09-05,Open Men's 89kg,Eric Renner,87.65,100,105,115,120,127,137,115,137,252
The Miller Gym In-House Invite,2020-09-05,Open Men's 89kg,Vedder Miller,87.19,95,100,-105,117,-123,125,100,125,225
The Miller Gym In-House Invite,2020-09-05,Men's 16-17 Age Group 73kg,Charlie Tetrault,70.06,73,78,82,90,95,-100,82,95,177
The Miller Gym In-House Invite,2020-09-05,Men's 16-17 Age Group 73kg,Miles Thompson,70.02,65,68,-70,80,-85,-87,68,80,148
The Miller Gym In-House Invite,2020-09-05,Open Men's 61kg,Logan Monroe,59.33,57,60,-63,70,-73,75,60,75,135
The Miller Gym In-House Invite,2020-09-05,Men's 16-17 Age Group 73kg,Liam Burke,68.26,-55,55,-58,68,-72,-73,55,68,123
The Miller Gym In-House Invite,2020-09-05,Junior Women's 71kg,Sofia Bomse,67.48,-55,55,-63,62,67,-72,55,67,122
The Miller Gym In-House Invite,2020-09-05,Women's 14-15 Age Group 64kg,Zavia Burton,62.75,44,46,48,53,56,59,48,59,107
The Miller Gym In-House Invite,2020-09-05,Women's 16-17 Age Group 64kg,Amelie Romero,60.4,44,46,-48,53,56,59,46,59,105
The Miller Gym In-House Invite,2020-09-05,Men's Masters (75-79) 61kg,David Bolotin,60.36,31,33,35,42,44,-47,35,44,79
The Miller Gym In-House Invite,2020-09-05,Women's 14-15 Age Group 55kg,Cora Thompson,53.18,20,22,24,31,33,35,24,35,59
