meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
AO-Alternative,2023-03-04,Open Men's +109kg,Kainon Clark,136.2,110,120,-128,148,-153,153,120,153,273
AO-Alternative,2023-03-04,Open Men's 81kg,Casey Freemon,80.9,93,-98,100,125,130,135,100,135,235
AO-Alternative,2023-03-04,Open Men's 96kg,Stephen Burba,95.35,98,-103,-110,127,-137,-140,98,127,225
AO-Alternative,2023-03-04,Junior Men's 89kg,Thomas Freemon,87.25,81,85,87,102,107,-111,87,107,194
AO-Alternative,2023-03-04,Junior Men's 67kg,Andrew Dickey,65.7,81,-85,86,102,107,-110,86,107,193
AO-Alternative,2023-03-04,Men's 16-17 Age Group 96kg,Colby Brown,96,70,75,79,91,96,101,79,101,180
AO-Alternative,2023-03-04,Junior Men's 89kg,Caleb Evans,86.5,70,75,-79,91,96,102,75,102,177
AO-Alternative,2023-03-04,Men's 14-15 Age Group +89kg,TYLER NIEDERGESES,105.9,66,70,-72,84,-89,89,70,89,159
AO-Alternative,2023-03-04,Junior Men's +109kg,Remington  Coulter,120.1,58,63,-68,82,87,92,63,92,155
AO-Alternative,2023-03-04,Junior Women's 71kg,Devan Bray,69.8,50,-54,54,65,-72,73,54,73,127
AO-Alternative,2023-03-04,Men's 14-15 Age Group 67kg,Haston Hill,66.6,45,52,57,55,62,69,57,69,126
AO-Alternative,2023-03-04,Women's Masters (35-39) 64kg,Jami Hessing,63.2,47,52,57,57,62,68,57,68,125
AO-Alternative,2023-03-04,Women's 16-17 Age Group +81kg,Paige Lawson,89.4,45,48,-52,56,59,-61,48,59,107
AO-Alternative,2023-03-04,Junior Women's +87kg,Addilyn Campbell,113,65,-68,-68,-87,-91,-91,65,0,0
