meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 102kg,Anthony DeCristofaro,99.1,135,140,-145,175,-180,-185,140,175,315
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 109kg,Jacob Mattrella,104.1,-135,137,-143,170,175,-182,137,175,312
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 102kg,Rush Davenport,100.45,-120,120,-130,150,155,-160,120,155,275
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 89kg,Cody Limas,87.55,118,123,-126,145,-150,-150,123,145,268
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's +109kg,Adrian Salazar,117.55,110,-115,-115,145,150,155,110,155,265
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 89kg,Noah Groover,86.4,119,116,121,130,135,140,121,140,261
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 96kg,Austin Syvertson,93.05,110,115,-120,140,-143,-143,115,140,255
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 96kg,Craig Clark,93.8,96,-101,103,130,-136,140,103,140,243
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 73kg,Dean Goad,71.65,90,95,100,133,139,-145,100,139,239
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 89kg,Braden Shanks,83.95,-98,98,104,120,126,131,104,131,235
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's +109kg,Karston Spradley,117.65,92,97,-102,130,135,138,97,138,235
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 61kg,Hampton Morris,60.5,98,-103,103,127,-133,-133,103,127,230
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 89kg,Weston Kintz,83.45,90,93,97,115,120,125,97,125,222
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 81kg,Primo Murillo,73.85,95,100,-105,120,-125,-130,100,120,220
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 81kg,Donovan Conrad,80.6,-92,92,94,120,122,124,94,124,218
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 81kg,Bryson DelMonte,79.05,80,85,-90,110,115,-120,85,115,200
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 76kg,Kyley Perfetto,73.9,-85,85,89,-102,106,-110,89,106,195
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 102kg,Charles Horn,100.6,-84,84,87,100,107,-113,87,107,194
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 71kg,Taylor Stephens,65.95,84,86,-88,104,107,-110,86,107,193
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's +109kg,Jonathan Perez,121.7,-83,83,87,100,-110,-110,87,100,187
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 73kg,Michael Humberd,71.65,75,79,84,95,100,-104,84,100,184
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 102kg,Ryan Gesser,100.35,65,70,75,95,100,105,75,105,180
Allsouth Barbell Invitational and Open,2019-08-10,Men's 14-15 Age Group 73kg,Ashby Floyd,69.2,72,-76,77,92,97,100,77,100,177
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's +87kg,Jacqueline Varnum,98,-76,76,-80,85,89,-93,76,89,165
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 76kg,Alyssa Pacheco,74,71,74,-77,86,90,-93,74,90,164
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 81kg,Caroline Wible,79.1,65,-68,68,-90,90,-93,68,90,158
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's +109kg,Michael Molina,110.3,60,64,-68,80,85,90,64,90,154
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 102kg,Matthew Hemphill,101.2,60,64,-68,80,85,90,64,90,154
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 81kg,Daniel Robertson,80.9,65,70,-73,75,80,83,70,83,153
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 59kg,Cara Salerno,57.6,59,-63,65,82,85,-87,65,85,150
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 76kg,Devon Cole,75.4,62,66,-69,77,81,-85,66,81,147
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 59kg,Patrice Sweet,57.8,-60,60,-64,80,-82,-82,60,80,140
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 89kg,Jason Edgcomb,88.8,60,64,-68,70,73,75,64,75,139
Allsouth Barbell Invitational and Open,2019-08-10,Women's Masters (45-49) 71kg,Emily Hammock,67.3,-57,-59,59,68,72,75,59,75,134
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 71kg,Rachael Brewer,70.6,50,53,56,66,70,72,56,72,128
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 102kg,Christopher Carlisle,99.25,48,53,-58,68,73,-78,53,73,126
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 76kg,Olivia Petrus,74.2,-48,48,53,65,68,72,53,72,125
Allsouth Barbell Invitational and Open,2019-08-10,Women's Masters (40-44) 71kg,Pamela Wade,71,45,55,-60,55,65,70,55,70,125
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 81kg,Scott Carden,75.4,50,53,56,-60,61,65,56,65,121
Allsouth Barbell Invitational and Open,2019-08-10,Women's 13 Under Age Group +64kg,Emilia DeGroot,64.3,48,50,53,62,65,-68,53,65,118
Allsouth Barbell Invitational and Open,2019-08-10,Women's Masters (40-44) 76kg,Mary Clark,74.1,42,47,-48,67,-69,70,47,70,117
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 59kg,Jennifer Cihonski,58.75,52,-55,-57,55,60,65,52,65,117
Allsouth Barbell Invitational and Open,2019-08-10,Women's 16-17 Age Group 71kg,Carly Brown,68.1,43,46,52,57,61,64,52,64,116
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 64kg,Laura Harrell,60.7,35,41,46,55,60,65,46,65,111
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 81kg,Alexandra Almeter,76.2,39,43,-48,56,63,67,43,67,110
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 76kg,crystal minton,74.4,40,45,50,50,55,60,50,60,110
Allsouth Barbell Invitational and Open,2019-08-10,Women's 14-15 Age Group 55kg,London Williams,51.35,43,46,-51,53,62,-63,46,62,108
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's +87kg,Leah Miller,87.85,40,42,43,57,60,62,43,62,105
Allsouth Barbell Invitational and Open,2019-08-10,Women's Masters (40-44) 49kg,Dana Boyle,48.85,43,45,47,58,-61,-63,47,58,105
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's +87kg,Amber Webb,122.65,35,38,41,50,54,60,41,60,101
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 87kg,Eva Ball,83.2,35,40,-45,52,55,61,40,61,101
Allsouth Barbell Invitational and Open,2019-08-10,Women's Masters (35-39) 64kg,Whitney Hoffman,63.65,36,-41,-41,45,55,56,36,56,92
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's 89kg,Blake Dailey,88.5,86,-89,92,-108,-108,-108,92,0,92
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 71kg,Bridget Cate,66.4,36,38,40,47,50,52,40,52,92
Allsouth Barbell Invitational and Open,2019-08-10,Open Women's 59kg,Ashley Fisher,58.9,-60,-62,-62,75,-78,-78,0,75,75
Allsouth Barbell Invitational and Open,2019-08-10,Women's Masters (55-59) 87kg,Joy Frazier,83.4,25,27,30,38,40,42,30,42,72
Allsouth Barbell Invitational and Open,2019-08-10,Open Men's +109kg,Zachary Burks,117.35,68,71,-74,-81,0,0,71,0,71
Allsouth Barbell Invitational and Open,2019-08-10,Women's Masters (35-39) 59kg,Malavika Raju,58.7,25,27,28,35,38,40,28,40,68
