event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
QWA League and Masters League Round 2,2013-04-20,female,Mary Barter,53.00,-45,45,-47,63,65,68,45,68,113
QWA League and Masters League Round 2,2013-04-20,female,Hayley Ward,53.00,-40,42,-45,50,-55,55,42,55,97
QWA League and Masters League Round 2,2013-04-20,female,Madeline Wu,52.15,34,-38,38,48,53,56,38,56,94
QWA League and Masters League Round 2,2013-04-20,female,Jade Wolfenden,52.15,26,28,30,37,40,42,30,42,72
QWA League and Masters League Round 2,2013-04-20,female,Taylor Ryan,55.50,48,-51,51,65,68,71,51,71,122
QWA League and Masters League Round 2,2013-04-20,female,Amy Hill,53.50,40,42,45,52,55,58,45,58,103
QWA League and Masters League Round 2,2013-04-20,female,Emma Hill,58.00,40,42,-45,52,55,-58,42,55,97
QWA League and Masters League Round 2,2013-04-20,female,Ana Rey,55.80,-30,31,34,38,41,-43,34,41,75
QWA League and Masters League Round 2,2013-04-20,female,Kelsey Swift,62.00,48,50,52,65,67,70,52,70,122
QWA League and Masters League Round 2,2013-04-20,female,Nadine Newbery,61.05,-40,40,42,48,51,54,42,54,96
QWA League and Masters League Round 2,2013-04-20,female,Laura Rey,62.85,30,33,-35,42,45,-47,33,45,78
QWA League and Masters League Round 2,2013-04-20,female,Kim Hanssen,64.35,-50,50,54,62,66,-69,54,66,120
QWA League and Masters League Round 2,2013-04-20,female,Olivia Xu,68.50,30,31,32,48,50,52,32,52,84
QWA League and Masters League Round 2,2013-04-20,female,Jenna Steward,66.00,29,31,-33,38,40,-42,31,40,71
QWA League and Masters League Round 2,2013-04-20,female,Stacy Koh,74.05,58,62,64,78,82,84,64,84,148
QWA League and Masters League Round 2,2013-04-20,female,Alana Biggam,73.85,51,54,56,77,79,81,56,81,137
QWA League and Masters League Round 2,2013-04-20,female,Keya Woodland,70.25,44,48,-52,64,68,72,48,72,120
QWA League and Masters League Round 2,2013-04-20,female,Kirsty-Leigh Garland,71.45,45,46,48,50,52,55,48,55,103
QWA League and Masters League Round 2,2013-04-20,female,Christine Ford,71.35,38,40,42,48,50,52,42,52,94
QWA League and Masters League Round 2,2013-04-20,female,Carolyn Smith,69.55,30,-33,33,46,51,54,33,54,87
QWA League and Masters League Round 2,2013-04-20,female,Donna Mcgettigan,69.10,36,37,38,40,43,45,38,45,83
QWA League and Masters League Round 2,2013-04-20,female,Jessica Gilbert,77.35,56,60,-64,76,-80,80,60,80,140
QWA League and Masters League Round 2,2013-04-20,female,Julie Davis,54.35,26,27,-28,38,-39,39,27,39,66
QWA League and Masters League Round 2,2013-04-20,female,Kate Thorpe,57.95,31,33,34,41,43,44,34,44,78
QWA League and Masters League Round 2,2013-04-20,female,Patrizia Cocchis,57.40,27,-30,32,33,35,38,32,38,70
QWA League and Masters League Round 2,2013-04-20,female,Lesley Moyle,61.95,26,27,-28,38,40,-42,27,40,67
QWA League and Masters League Round 2,2013-04-20,female,Colleen Duplock,59.65,25,27,-29,32,-35,35,27,35,62
QWA League and Masters League Round 2,2013-04-20,female,Wendy Pakchung,59.25,21,22,-24,-28,28,30,22,30,52
QWA League and Masters League Round 2,2013-04-20,female,Jenny Butler,67.95,-62,-63,63,78,-81,-81,63,78,141
QWA League and Masters League Round 2,2013-04-20,female,Malgorzata Soroka,69.05,61,-62,62,70,-75,-75,62,70,132
QWA League and Masters League Round 2,2013-04-20,female,Emma Teede,67.90,46,48,50,62,64,-68,50,64,114
QWA League and Masters League Round 2,2013-04-20,female,Sue Cox,68.10,42,44,-45,51,53,55,44,55,99
QWA League and Masters League Round 2,2013-04-20,female,Kathy Cameron,66.40,30,33,36,45,50,55,36,55,91
QWA League and Masters League Round 2,2013-04-20,female,Leandra Miscamble,68.50,32,-34,-34,47,49,-51,32,49,81
QWA League and Masters League Round 2,2013-04-20,female,Ellen Willis,66.40,28,32,-38,36,41,-46,32,41,73
QWA League and Masters League Round 2,2013-04-20,female,Bronwyn Hitchener,74.20,54,57,-60,67,-70,-70,57,67,124
QWA League and Masters League Round 2,2013-04-20,female,Tina Eilola,88.75,35,38,-42,45,50,-55,38,50,88
QWA League and Masters League Round 2,2013-04-20,male,Fraser Jeavons,47.25,40,42,-44,57,60,61,42,61,103
QWA League and Masters League Round 2,2013-04-20,male,Liam Hanlon,51.10,41,43,-45,-55,55,-60,43,55,98
QWA League and Masters League Round 2,2013-04-20,male,Alex Bax,55.15,40,43,45,50,53,-55,45,53,98
QWA League and Masters League Round 2,2013-04-20,male,James Catlow-Elliott,50.75,33,37,40,-47,47,52,40,52,92
QWA League and Masters League Round 2,2013-04-20,male,Ethan Catlow-Elliott,51.25,31,35,38,40,45,50,38,50,88
QWA League and Masters League Round 2,2013-04-20,male,Lincoln Clapham,55.85,23,27,30,35,39,42,30,42,72
QWA League and Masters League Round 2,2013-04-20,male,Sam Weston,46.95,20,22,25,25,30,-32,25,30,55
QWA League and Masters League Round 2,2013-04-20,male,Finn Dargavel,43.60,18,-20,20,24,-26,26,20,26,46
QWA League and Masters League Round 2,2013-04-20,male,Chris Weston,37.20,15,17,19,18,20,22,19,22,41
QWA League and Masters League Round 2,2013-04-20,male,Samuel Toth,57.00,35,40,-45,45,-50,50,40,50,90
QWA League and Masters League Round 2,2013-04-20,male,Michael Ward,68.70,70,74,78,95,100,103,78,103,181
QWA League and Masters League Round 2,2013-04-20,male,Lamson Nguyen,68.00,75,80,82,-94,-95,95,82,95,177
QWA League and Masters League Round 2,2013-04-20,male,Jason Chan,64.10,-72,-72,72,93,-97,-100,72,93,165
QWA League and Masters League Round 2,2013-04-20,male,Luke Snabaitis,62.95,63,-65,-67,-77,77,-81,63,77,140
QWA League and Masters League Round 2,2013-04-20,male,Joshua Mak,65.40,37,41,45,55,60,65,45,65,110
QWA League and Masters League Round 2,2013-04-20,male,Jonathan Pakchung,76.80,100,105,110,120,125,130,110,130,240
QWA League and Masters League Round 2,2013-04-20,male,Norman Hanna,76.60,80,-82,83,110,113,115,83,115,198
QWA League and Masters League Round 2,2013-04-20,male,Mitchell Rawlings,76.45,80,85,-88,107,112,-117,85,112,197
QWA League and Masters League Round 2,2013-04-20,male,James Pakchung,75.45,84,87,-90,95,99,105,87,105,192
QWA League and Masters League Round 2,2013-04-20,male,Adam Barter,69.45,57,59,60,84,86,-87,60,86,146
QWA League and Masters League Round 2,2013-04-20,male,Callum Hannay,72.90,55,60,65,75,-80,80,65,80,145
QWA League and Masters League Round 2,2013-04-20,male,Joshua Wegert,71.40,47,52,53,60,65,68,53,68,121
QWA League and Masters League Round 2,2013-04-20,male,James Pollicina,73.20,40,45,50,50,55,60,50,60,110
QWA League and Masters League Round 2,2013-04-20,male,Jakob Daniels,78.50,92,97,-102,116,121,-126,97,121,218
QWA League and Masters League Round 2,2013-04-20,male,Dale Finlayson,83.30,85,87,89,107,111,115,89,115,204
QWA League and Masters League Round 2,2013-04-20,male,David Kristjansson,81.15,65,70,75,82,87,92,75,92,167
QWA League and Masters League Round 2,2013-04-20,male,Tom Beikoff,83.75,53,58,63,68,75,80,63,80,143
QWA League and Masters League Round 2,2013-04-20,male,Christian Hopper,90.75,93,97,102,117,122,125,102,125,227
QWA League and Masters League Round 2,2013-04-20,male,Nathaniel Wight,89.20,92,97,100,117,122,-126,100,122,222
QWA League and Masters League Round 2,2013-04-20,male,Douglas Higginson,90.15,89,-93,93,-115,115,120,93,120,213
QWA League and Masters League Round 2,2013-04-20,male,Ashley Adams,88.10,71,76,80,96,102,108,80,108,188
QWA League and Masters League Round 2,2013-04-20,male,Nathan Ford,93.20,-70,70,74,90,97,101,74,101,175
QWA League and Masters League Round 2,2013-04-20,male,Matt Wakeham,87.90,-65,-65,65,95,98,100,65,100,165
QWA League and Masters League Round 2,2013-04-20,male,Tea Tutaki,90.35,70,72,74,85,87,90,74,90,164
QWA League and Masters League Round 2,2013-04-20,male,Luke Gamble,88.80,66,69,72,82,84,87,72,87,159
QWA League and Masters League Round 2,2013-04-20,male,Josh Steel,85.95,85,88,-90,0,0,0,88,0,0
QWA League and Masters League Round 2,2013-04-20,male,Gordon Laurie,103.40,140,145,-151,160,-164,164,145,164,309
QWA League and Masters League Round 2,2013-04-20,male,Linzey Beister,103.85,115,120,125,145,-150,150,125,150,275
QWA League and Masters League Round 2,2013-04-20,male,Regan Hams,101.80,100,105,110,125,130,-135,110,130,240
QWA League and Masters League Round 2,2013-04-20,male,Jake Ratcliffe,96.05,95,100,102,110,116,121,102,121,223
QWA League and Masters League Round 2,2013-04-20,male,Michael Bailey,94.45,-90,-90,90,115,120,125,90,125,215
QWA League and Masters League Round 2,2013-04-20,male,Adam Meek,100.65,78,-81,81,98,102,-106,81,102,183
