event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Sunshine Coast Club Competition,2017-12-16,female,Chelsea Nicoll,47.20,-42,42,45,50,54,-58,45,54,99
Sunshine Coast Club Competition,2017-12-16,female,Hayley Ward,62.00,43,47,50,62,-67,-67,50,62,112
Sunshine Coast Club Competition,2017-12-16,female,Jessica Ryder,66.45,35,-37,-37,-48,48,-54,35,48,83
Sunshine Coast Club Competition,2017-12-16,female,Ella Jones,71.50,40,43,-46,48,52,-55,43,52,95
Sunshine Coast Club Competition,2017-12-16,female,Angela Barnas,73.90,57,60,64,75,-80,-85,64,75,139
Sunshine Coast Club Competition,2017-12-16,female,Dale Donaghue,81.60,45,49,52,60,65,-68,52,65,117
Sunshine Coast Club Competition,2017-12-16,male,Levi Deans,39.64,22,26,-30,30,35,-40,26,35,61
Sunshine Coast Club Competition,2017-12-16,male,Maximilian Clark,66.80,52,57,60,62,69,-74,60,69,129
Sunshine Coast Club Competition,2017-12-16,male,Trevor Walz,76.50,58,63,-66,-78,-82,-82,63,0,0
Sunshine Coast Club Competition,2017-12-16,male,Andrew Deans,80.35,62,-67,-67,90,-95,-100,62,90,152
Sunshine Coast Club Competition,2017-12-16,male,Jakob Daniels,92.75,115,120,-123,145,150,-153,120,150,270
Sunshine Coast Club Competition,2017-12-16,male,Byron Mcgregor,93.25,90,-95,100,115,120,-125,100,120,220
Sunshine Coast Club Competition,2017-12-16,male,Adair Forsyth,88.50,40,43,-46,60,62,65,43,65,108
Sunshine Coast Club Competition,2017-12-16,male,Jon Mann,102.25,40,45,50,60,-65,65,50,65,115
Sunshine Coast Club Competition,2017-12-16,male,Braden Andersen,117.60,-100,-100,100,120,125,130,100,130,230
