event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
WTI Presidents Cup Final & PC6,2021-12-04,female,Hannah Pickrell,54.45,50,52,-56,60,66,-69,52,66,118
WTI Presidents Cup Final & PC6,2021-12-04,female,Millara Howe,51.05,22,24,26,32,35,38,26,38,64
WTI Presidents Cup Final & PC6,2021-12-04,female,Bianca Fitzpatrick,58.55,48,50,53,63,66,-70,53,66,119
WTI Presidents Cup Final & PC6,2021-12-04,female,Nena Timsar,56.90,30,-32,33,41,46,-50,33,46,79
WTI Presidents Cup Final & PC6,2021-12-04,female,Rebecca Richardson,67.40,-60,60,64,82,-86,88,64,88,152
WTI Presidents Cup Final & PC6,2021-12-04,female,Emily Drysdale,69.10,58,61,-64,68,72,75,61,75,136
WTI Presidents Cup Final & PC6,2021-12-04,female,Monique Brooks,64.75,54,-56,56,70,72,-74,56,72,128
WTI Presidents Cup Final & PC6,2021-12-04,female,Madeline Bennett,64.85,45,48,51,58,63,68,51,68,119
WTI Presidents Cup Final & PC6,2021-12-04,female,Jorja Love,70.40,-49,49,52,62,64,-68,52,64,116
WTI Presidents Cup Final & PC6,2021-12-04,female,Lotus Blossom,65.35,47,50,-52,-63,63,-68,50,63,113
WTI Presidents Cup Final & PC6,2021-12-04,female,Christy Nixon,65.85,42,47,51,52,56,61,51,61,112
WTI Presidents Cup Final & PC6,2021-12-04,female,Rebecca Gillie,69.85,37,-39,39,48,51,-53,39,51,90
WTI Presidents Cup Final & PC6,2021-12-04,female,Mya Venn,74.75,50,53,-56,64,67,70,53,70,123
WTI Presidents Cup Final & PC6,2021-12-04,female,Mollie Paton,78.55,59,-62,-62,78,82,-85,59,82,141
WTI Presidents Cup Final & PC6,2021-12-04,female,Tegan Knee,79.35,60,63,-65,67,70,-73,63,70,133
WTI Presidents Cup Final & PC6,2021-12-04,female,Nicole Carrick,80.55,51,-54,-54,70,-73,-73,51,70,121
WTI Presidents Cup Final & PC6,2021-12-04,female,Grace Couser,76.35,22,23,24,28,30,32,24,32,56
WTI Presidents Cup Final & PC6,2021-12-04,female,Jacqueline Saward,85.35,71,76,-80,85,90,95,76,95,171
WTI Presidents Cup Final & PC6,2021-12-04,female,Danielle Mcbride,84.85,53,58,-63,73,76,80,58,80,138
WTI Presidents Cup Final & PC6,2021-12-04,female,Erin Murphy,83.75,33,35,37,40,43,46,37,46,83
WTI Presidents Cup Final & PC6,2021-12-04,female,Annaliese Owen,102.80,63,-65,65,80,-83,83,65,83,148
WTI Presidents Cup Final & PC6,2021-12-04,female,Sophie Kline,90.00,61,64,67,78,-81,-82,67,78,145
WTI Presidents Cup Final & PC6,2021-12-04,female,Jewel Banks,109.15,50,53,-55,62,64,-67,53,64,117
WTI Presidents Cup Final & PC6,2021-12-04,female,Melissa Oakley,96.30,42,44,-46,58,61,63,44,63,107
WTI Presidents Cup Final & PC6,2021-12-04,female,Kiren Couser,88.55,23,25,27,30,33,35,27,35,62
WTI Presidents Cup Final & PC6,2021-12-04,male,Phoenix Calvert,44.75,34,37,-41,40,44,-48,37,44,81
WTI Presidents Cup Final & PC6,2021-12-04,male,Michael Pickrell,66.20,70,76,-79,95,100,103,76,103,179
WTI Presidents Cup Final & PC6,2021-12-04,male,Camden Clark,71.65,65,68,72,90,-95,95,72,95,167
WTI Presidents Cup Final & PC6,2021-12-04,male,Fraser Howell,70.65,25,26,27,28,29,30,27,30,57
WTI Presidents Cup Final & PC6,2021-12-04,male,Alex Placogiannakis,75.95,74,78,81,92,97,100,81,100,181
WTI Presidents Cup Final & PC6,2021-12-04,male,Tim Sumpton,79.10,76,81,-85,95,-101,-101,81,95,176
WTI Presidents Cup Final & PC6,2021-12-04,male,Jeremiah Walter,78.25,-73,76,-81,93,96,-101,76,96,172
WTI Presidents Cup Final & PC6,2021-12-04,male,Reuben Mah,73.15,40,45,50,50,55,60,50,60,110
WTI Presidents Cup Final & PC6,2021-12-04,male,Tony Hagar,77.45,39,-41,-41,49,52,-55,39,52,91
WTI Presidents Cup Final & PC6,2021-12-04,male,Brandon Zinenko,87.70,-100,100,112,-135,135,145,112,145,257
WTI Presidents Cup Final & PC6,2021-12-04,male,James Rakich,87.40,62,64,-66,80,-84,-86,64,80,144
