event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Sunshine Coast Club Competition,2017-03-18,female,Maree Davidson,52.78,25,27,-30,37,40,-42,27,40,67
Sunshine Coast Club Competition,2017-03-18,female,Lisa Polowyj,62.40,50,-54,-57,70,-75,-75,50,70,120
Sunshine Coast Club Competition,2017-03-18,female,Katherine Redhead,67.55,50,52,54,63,65,67,54,67,121
Sunshine Coast Club Competition,2017-03-18,male,Angelica Hinchman,66.55,45,47,-49,58,60,63,47,63,110
Sunshine Coast Club Competition,2017-03-18,female,Ella Jones,68.55,-45,46,-49,53,-57,-57,46,53,99
Sunshine Coast Club Competition,2017-03-18,female,Linda Ryan,66.90,35,38,41,50,54,-59,41,54,95
Sunshine Coast Club Competition,2017-03-18,female,Kim Jenkins,71.75,25,27,30,33,35,37,30,37,67
Sunshine Coast Club Competition,2017-03-18,male,Tyson Pool,60.40,-65,70,73,85,97,103,73,103,176
Sunshine Coast Club Competition,2017-03-18,male,Mitchell Daniels,68.65,90,95,-100,108,-113,-117,95,108,203
Sunshine Coast Club Competition,2017-03-18,male,Andrew Deans,76.95,40,-45,45,60,65,-70,45,65,110
Sunshine Coast Club Competition,2017-03-18,male,Trevor Walz,80.75,60,62,64,80,83,85,64,85,149
Sunshine Coast Club Competition,2017-03-18,male,Jakob Daniels,84.60,108,112,-115,140,146,-152,112,146,258
Sunshine Coast Club Competition,2017-03-18,male,Maximilian Clark,79.60,50,-55,55,70,75,-80,55,75,130
Sunshine Coast Club Competition,2017-03-18,male,Raymond A Louden,81.10,40,45,48,60,65,67,48,67,115
Sunshine Coast Club Competition,2017-03-18,male,Byron Mcgregor,89.50,85,90,95,110,115,121,95,121,216
Sunshine Coast Club Competition,2017-03-18,male,Rodney Carr,116.10,100,-105,105,120,125,-130,105,125,230
