event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Cougars Weightlifting  Club Competition,2018-03-17,female,Lauren Hastings,46.90,34,36,38,44,47,50,38,50,88
Cougars Weightlifting  Club Competition,2018-03-17,female,Maia Ratana-Leef,51.58,34,37,39,44,47,50,39,50,89
Cougars Weightlifting  Club Competition,2018-03-17,female,Tahlia Cobb,52.30,30,33,-35,36,40,44,33,44,77
Cougars Weightlifting  Club Competition,2018-03-17,female,Mia Johnson,51.60,25,28,30,32,35,37,30,37,67
Cougars Weightlifting  Club Competition,2018-03-17,female,Emma Cervetto,55.08,43,47,50,64,68,-70,50,68,118
Cougars Weightlifting  Club Competition,2018-03-17,female,Shannen Swanson,57.86,-45,45,48,65,-69,69,48,69,117
Cougars Weightlifting  Club Competition,2018-03-17,female,Natalie Setiadji,57.94,40,44,-47,60,64,67,44,67,111
Cougars Weightlifting  Club Competition,2018-03-17,female,Keira Rangi,57.16,38,41,43,49,53,-56,43,53,96
Cougars Weightlifting  Club Competition,2018-03-17,female,Stefani Jenner,56.46,28,32,-35,40,44,47,32,47,79
Cougars Weightlifting  Club Competition,2018-03-17,female,Emma Moore,62.12,19,22,-24,-27,27,-30,22,27,49
Cougars Weightlifting  Club Competition,2018-03-17,female,Tessa Milton,67.10,77,82,-86,90,95,100,82,100,182
Cougars Weightlifting  Club Competition,2018-03-17,female,Lydia Olsen,67.36,60,64,68,82,87,90,68,90,158
Cougars Weightlifting  Club Competition,2018-03-17,male,Tandia Wood,68.26,32,36,40,52,56,60,40,60,100
Cougars Weightlifting  Club Competition,2018-03-17,female,Amie Cox,74.96,63,66,68,76,79,-82,68,79,147
Cougars Weightlifting  Club Competition,2018-03-17,female,Louise Burns,73.86,47,50,53,65,68,71,53,71,124
Cougars Weightlifting  Club Competition,2018-03-17,female,Manaia Ruka,69.54,23,27,30,34,38,42,30,42,72
Cougars Weightlifting  Club Competition,2018-03-17,female,Tise Jubilee Aaifou,85.78,68,72,75,90,94,-98,75,94,169
Cougars Weightlifting  Club Competition,2018-03-17,female,Natasha Coombridge,79.26,50,54,57,70,73,76,57,76,133
Cougars Weightlifting  Club Competition,2018-03-17,female,Emily Robinson,83.34,54,58,61,65,69,72,61,72,133
Cougars Weightlifting  Club Competition,2018-03-17,male,Levi Cobb,39.74,18,22,24,30,34,37,24,37,61
Cougars Weightlifting  Club Competition,2018-03-17,male,Reuben Downes,49.40,16,18,20,26,29,31,20,31,51
Cougars Weightlifting  Club Competition,2018-03-17,male,Jett Gaffney,61.02,78,82,85,101,106,108,85,108,193
Cougars Weightlifting  Club Competition,2018-03-17,male,Kolby Green,61.98,-76,76,79,93,98,101,79,101,180
Cougars Weightlifting  Club Competition,2018-03-17,male,Joseph Marken,58.04,30,34,38,42,46,50,38,50,88
Cougars Weightlifting  Club Competition,2018-03-17,male,Lachlan Little,57.82,17,20,23,23,27,30,23,30,53
Cougars Weightlifting  Club Competition,2018-03-17,male,Thomas Foster,68.90,82,86,-90,105,-109,-110,86,105,191
Cougars Weightlifting  Club Competition,2018-03-17,male,Shachris Srimuangboon,63.44,64,68,72,80,86,92,72,92,164
Cougars Weightlifting  Club Competition,2018-03-17,male,Jed Rogers,65.30,53,56,58,73,76,80,58,80,138
Cougars Weightlifting  Club Competition,2018-03-17,male,Divtej Singh,63.30,45,48,52,50,55,60,52,60,112
Cougars Weightlifting  Club Competition,2018-03-17,male,Manish Kulasekara,65.04,30,33,-36,35,36,38,33,38,71
Cougars Weightlifting  Club Competition,2018-03-17,male,Sam Jansson,75.94,92,96,100,126,-131,-131,100,126,226
Cougars Weightlifting  Club Competition,2018-03-17,male,Connor Leonard,73.50,46,50,55,70,-75,75,55,75,130
Cougars Weightlifting  Club Competition,2018-03-17,male,Jonathan Pakchung,80.46,105,110,115,125,130,135,115,135,250
Cougars Weightlifting  Club Competition,2018-03-17,male,Philip Chan,83.46,87,91,94,121,125,128,94,128,222
Cougars Weightlifting  Club Competition,2018-03-17,male,Jesse Dodd,83.40,94,-97,-98,111,116,-118,94,116,210
Cougars Weightlifting  Club Competition,2018-03-17,male,Nathan George,79.30,83,88,93,108,-114,-116,93,108,201
Cougars Weightlifting  Club Competition,2018-03-17,male,Bank Chotrueng,82.62,-72,72,77,95,100,105,77,105,182
Cougars Weightlifting  Club Competition,2018-03-17,male,Rueben Marsters,80.58,65,-70,70,90,-95,100,70,100,170
Cougars Weightlifting  Club Competition,2018-03-17,male,Hunter Binskin,85.00,30,34,38,36,40,44,38,44,82
Cougars Weightlifting  Club Competition,2018-03-17,male,Zachary Clark,88.62,90,95,100,120,-125,130,100,130,230
Cougars Weightlifting  Club Competition,2018-03-17,male,Daniel Sutherland,95.00,70,74,-78,100,105,108,74,108,182
Cougars Weightlifting  Club Competition,2018-03-17,male,John Downes,101.08,110,115,118,135,140,145,118,145,263
Cougars Weightlifting  Club Competition,2018-03-17,male,Artemio Pocio,103.34,100,104,108,130,136,0,108,136,244
Cougars Weightlifting  Club Competition,2018-03-17,male,William Findlay,97.54,92,97,102,120,125,130,102,130,232
Cougars Weightlifting  Club Competition,2018-03-17,male,Matthew Rowland,100.52,50,-55,55,70,73,78,55,78,133
Cougars Weightlifting  Club Competition,2018-03-17,male,Michael Hansen Luther,138.36,-95,95,100,121,128,-135,100,128,228
