event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
PDL - Challenge Avenir - St mars la futaie - U15-U17 M,2025-10-04,U15 Men 52,ALLA Bilal,50.8,35.0,37.0,38.0,45.0,47.0,50.0,38.0,50.0,88.0
PDL - Challenge Avenir - St mars la futaie - U15-U17 M,2025-10-04,U20 Men 79,HUBERT JOUBERT Arthur,77.3,70.0,73.0,76.0,90.0,95.0,-97.0,76.0,95.0,171.0
PDL - Challenge Avenir - St mars la futaie - U15-U17 M,2025-10-04,SEN Men 71,DODARD Sebastien,65.9,67.0,69.0,71.0,88.0,90.0,92.0,71.0,92.0,163.0
