event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
NAQ - Challenge Avenir - Tulle - Avenir 3,2024-04-27,U17 Men 81,PEJOINE Leo,77.9,45.0,50.0,-55.0,70.0,75.0,-80.0,50.0,75.0,125.0
NAQ - Challenge Avenir - Tulle - Avenir 3,2024-04-27,SEN Men 73,TEICH Lilian,73.0,45.0,-50.0,50.0,60.0,70.0,-80.0,50.0,70.0,120.0
NAQ - Challenge Avenir - Tulle - Avenir 3,2024-04-27,SEN Men 89,PAAUW Pieter,85.6,45.0,50.0,52.0,65.0,-70.0,70.0,52.0,70.0,122.0
