event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
NCAL - Critérium National - Mont-dore - nouvelle-calédonie - LRNCHM - Championnat Territorial | Manche 2 - Mont-Dore,2024-03-16,U20 Women 59,SOUVIAT Marine,58.2,50.0,53.0,-55.0,62.0,65.0,67.0,53.0,67.0,120.0
NCAL - Critérium National - Mont-dore - nouvelle-calédonie - LRNCHM - Championnat Territorial | Manche 2 - Mont-Dore,2024-03-16,SEN Women 55,VINCENT Esmeralda,55.0,37.0,39.0,41.0,38.0,40.0,43.0,41.0,43.0,84.0
NCAL - Critérium National - Mont-dore - nouvelle-calédonie - LRNCHM - Championnat Territorial | Manche 2 - Mont-Dore,2024-03-16,SEN Women 64,TOROMONA-TRAFTON Micky,60.2,-55.0,55.0,60.0,70.0,75.0,-78.0,60.0,75.0,135.0
NCAL - Critérium National - Mont-dore - nouvelle-calédonie - LRNCHM - Championnat Territorial | Manche 2 - Mont-Dore,2024-03-16,SEN Women 71,RIVAL Cyndi,64.5,47.0,-50.0,-50.0,55.0,60.0,-63.0,47.0,60.0,107.0
NCAL - Critérium National - Mont-dore - nouvelle-calédonie - LRNCHM - Championnat Territorial | Manche 2 - Mont-Dore,2024-03-16,SEN Women 71,FREMONT Taina,69.2,40.0,-43.0,43.0,55.0,60.0,-62.0,43.0,60.0,103.0
NCAL - Critérium National - Mont-dore - nouvelle-calédonie - LRNCHM - Championnat Territorial | Manche 2 - Mont-Dore,2024-03-16,SEN Women 76,KONBOUARE Laure,75.0,-60.0,60.0,65.0,75.0,80.0,-82.0,65.0,80.0,145.0
NCAL - Critérium National - Mont-dore - nouvelle-calédonie - LRNCHM - Championnat Territorial | Manche 2 - Mont-Dore,2024-03-16,SEN Women 81,DABIN Demy,78.0,65.0,70.0,-75.0,85.0,90.0,-92.0,70.0,90.0,160.0
NCAL - Critérium National - Mont-dore - nouvelle-calédonie - LRNCHM - Championnat Territorial | Manche 2 - Mont-Dore,2024-03-16,SEN Women 87,SIMON Adèle,81.25,60.0,-63.0,-65.0,81.0,85.0,-90.0,60.0,85.0,145.0
