event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men 71,DEBUT Lysandre,70.46,80.0,85.0,-90.0,105.0,113.0,-120.0,85.0,113.0,198.0
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men 71,DEJEU Mathieu,68.98,60.0,-62.0,62.0,77.0,-80.0,-80.0,62.0,77.0,139.0
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men 79,DORSEY Oscar,77.34,-105.0,105.0,110.0,130.0,134.0,140.0,110.0,140.0,250.0
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men 79,MARTINE Fabrice,78.65,80.0,85.0,-88.0,100.0,-105.0,-105.0,85.0,100.0,185.0
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men 79,DE CARVALHO Jonathan,77.06,50.0,55.0,-60.0,78.0,81.0,-86.0,55.0,81.0,136.0
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men 79,HENAULT Thomas,78.5,80.0,84.0,-88.0,-100.0,-100.0,-100.0,84.0,0.0,0.0
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men 88,SONDEREGGER Lucas,80.3,80.0,86.0,91.0,103.0,107.0,112.0,91.0,112.0,203.0
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men 88,BOU SLEIMAN Tarek,87.88,90.0,-93.0,-93.0,122.0,-127.0,-133.0,90.0,122.0,212.0
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men 94,BANDET Alexandre,92.86,102.0,106.0,109.0,122.0,127.0,-131.0,109.0,127.0,236.0
IDF - REG 1 - Paris - SAM-2e tour régional Hommes,2025-12-06,SEN Men >110,KILIC Adem,115.6,92.0,96.0,-100.0,120.0,126.0,-132.0,96.0,126.0,222.0
