event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
CVL - Championnat de France Elite - Dunkerque - F,2024-06-15,SEN Women 64,PANN Nina,63.42,69.0,-72.0,-74.0,90.0,-94.0,-95.0,69.0,90.0,159.0
CVL - Championnat de France Elite - Dunkerque - F,2024-06-15,SEN Women 71,BLATON Celia,70.84,77.0,80.0,-83.0,90.0,94.0,-98.0,80.0,94.0,174.0
CVL - Championnat de France Elite - Dunkerque - F,2024-06-15,SEN Women 71,FERDINAND Sarah,66.36,73.0,-76.0,-76.0,92.0,-96.0,-96.0,73.0,92.0,165.0
