event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
IDF - Critérium National - Neuilly-sur-seine - Plateau 1 Hommes,2025-11-29,U17 Men 71,LOUAHEB Imad,68.2,55.0,-60.0,60.0,68.0,72.0,75.0,60.0,75.0,135.0
IDF - Critérium National - Neuilly-sur-seine - Plateau 1 Hommes,2025-11-29,U20 Men 71,FAELENS Noah,71.0,75.0,-82.0,-85.0,100.0,106.0,-111.0,75.0,106.0,181.0
IDF - Critérium National - Neuilly-sur-seine - Plateau 1 Hommes,2025-11-29,SEN Men 65,MEY Sovannarith,64.5,84.0,88.0,91.0,-108.0,112.0,-118.0,91.0,112.0,203.0
IDF - Critérium National - Neuilly-sur-seine - Plateau 1 Hommes,2025-11-29,SEN Men 88,DALOUR Killian,79.6,94.0,98.0,-100.0,130.0,-133.0,-137.0,98.0,130.0,228.0
