2019 East Coast Gold Lift Off,US,3956.csv
2017 Kilauea CrossFit Weightlifting Open,US,2490.csv
PRIOR LAKE HIGH SCHOOL MEET,US,4787.csv
Brooklyn Barbell Open,US,1827.csv
The Lab Gym: Last Chance Qualifier,US,1833.csv
Texas Collegiate Invitational,US,4793.csv
B-N Barbell Open,US,3942.csv
Blaze High School Open,US,2484.csv
Black Box Open,US,419.csv
University Nationals Qualifier,US,1166.csv
The Get Lit to Stay Lit Open,US,5300.csv
Samantha Allyn Silverman Memorial Meet,US,3771.csv
2021 Kentucky State Championship,US,4778.csv
Zwei Burgen-Turnier,US,3017.csv
BSBC 3rd Annual Winter Open,US,2309.csv
North Coast League Meet 3,US,394.csv
Empire Strength Fall Open,US,1600.csv
Junior Pan American Championships,US,1614.csv
North Coast League Youth,US,380.csv
2018 Pittsburgh Open Weightlifting Championships,US,3003.csv
Mustang Last Chance Weightlifting Meet,US,5314.csv
Qualifier for Under 25 Nationals,US,3765.csv
RWL Developmental Meet,US,1172.csv
Susan Williams Memeorial,US,3995.csv
The Metropolitan Classic,US,2453.csv
Folsom Open,US,4022.csv
Kindred Weightlifting Meet,US,4744.csv
Southern Open,US,2335.csv
Zion's Iron Open,US,4750.csv
Monmouth Championships,US,4988.csv
The Groove Classic,US,2321.csv
2013 National Championships,US,1628.csv
The Factory Classic,US,5328.csv
2019 In House Throwdown,US,3981.csv
West Michigan Muscle Junior National Qualifier,US,2447.csv
Middle GA Open  at the Columbus Fitness Festival,US,3759.csv
Junior Pan Am Athlete Fundraiser,US,4036.csv
World/PAC Team Trials at NUC,US,1629.csv
Chaos Christmas Classic,US,2320.csv
2021 Houses' Gym Summer Qualifier,US,4989.csv
2021 Barbell MAYnia,US,4751.csv
Alamo City Weightlifting Coalition,US,4037.csv
Pan American Masters Championships,US,3758.csv
Las Vegas Barbell Open,US,2446.csv
Team Hercules In House,US,3980.csv
4 Star Masters Only Meet,US,5329.csv
Wags & Weightlifting 2019,US,4023.csv
Barbell MAYnia,US,2452.csv
2019 Armor Championships,US,3994.csv
Mustang Weightlifting Meet,US,2334.csv
Sunday Series: New Year New Meet,US,4745.csv
Boise Barbell Masters Team Trial Invite,US,3002.csv
Redwood Empire Championships,US,381.csv
IWF Junior World Championships,US,1615.csv
Redwood Empire Championships,US,1173.csv
12th Ward Winter Classic,US,3764.csv
Cannon Falls Kickoff Meet,US,5315.csv
BlackBox Championships,US,3770.csv
B3 Team Florida States Last Chance Qualifier,US,5301.csv
Friday Night Last Chance Qualifier,US,1167.csv
PSAC Open SA Jr. Master Championship,US,1601.csv
North Coast League #4,US,395.csv
HWC Winter Open 2017,US,2308.csv
Vulkan Weightlifting Winter Open,US,3016.csv
New York State Weightlifting Championships,US,4779.csv
2021 Spring Fling,US,4792.csv
"The Lab Gym's Spring Open: Combined Weightlifting, Powerlifting, SuperTotal, and CrossFit Competition",US,1832.csv
The John Davis Memorial Invitational,US,418.csv
Vaughn Weightlifting Florida Open,US,2485.csv
Spring One,US,3943.csv
North Texas Youth Championships,US,2491.csv
CWC In-house Sanctioned Meet,US,3957.csv
2014 Lock and Load Championships and Nationals Qualifier,US,1198.csv
JT Memorial Open Olympic Lifting Meet,US,1826.csv
Strength Academy Internal Meet,US,4786.csv
Summer Slang,US,342.csv
"August 14, 2021 Meet",US,4976.csv
2015 Inner Strength Spring Meet,US,424.csv
2015 Texas State Weightlifting Championships,US,430.csv
Super Total x3 - Ocala Championships,US,4962.csv
2015 Dariotis Memorial,US,356.csv
APC Raleigh Weightlifting Open,US,801.csv
Rudy Sablo Memorial,US,41.csv
April Last Chance Qualifier,US,2644.csv
Barbell Collective Open Series- FINAL,US,4235.csv
2020 TN State Championship,US,4553.csv
MS Barbell University Qualifer,US,2122.csv
CWL club sandwich meet,US,4547.csv
March Lift Off,US,7.csv
2018 National Master Weightlifting Championships,US,3228.csv
Donny Shankle Weightlifting Developmental Competition,US,2136.csv
DES MOINES OPEN,US,2650.csv
2019 Southern Pacific LWC Championship,US,4221.csv
North Carolina State Championships,US,2888.csv
Crossfit Total Control Olympic Lifting Challenge,US,815.csv
The Iron Game Open,US,1359.csv
Moorestown Open,US,55.csv
Wolverine Showdown (NUQ),US,5117.csv
Solcana Beginner Meet 2017,US,2678.csv
Wisconsin Open,US,3566.csv
Tokyo Test Event,US,4209.csv
Twin City Masters & Invitational,US,1371.csv
Volusia AO Qualifier,US,1417.csv
2015 Iron Egg Weightlifting Championships,US,183.csv
Hyde Park Final Showdown,US,3200.csv
2018 MidWest Strongest Unicorn,US,3214.csv
Charleston-Matton Weightlifting Schoolage Qualifier,US,197.csv
Chicagoland Summer Meet,US,1403.csv
Faction Winter Challenge,US,829.csv
Onaga Christmas Open,US,1365.csv
Mobility-Doc Classic,US,69.csv
Wheelhouse Invitational 2021,US,5103.csv
Midtown Opens III,US,3572.csv
East Coast Classic,US,3599.csv
Capitol Egg Weightlifting Championships,US,2687.csv
Nova Open,US,82.csv
Bexar Barbell Brawl,US,4590.csv
Kentucky State Open,US,4584.csv
212 DOF Barbell Open,US,96.csv
Brooklyn Barbell Open,US,2693.csv
Ensign Gray Open,US,626.csv
Metropolitan LWC Championships,US,2863.csv
The Summer Barbell Classic,US,140.csv
MayDay Madness Weightlifting Competition,US,154.csv
2017 Pan American Masters Championships,US,2877.csv
Lone Star Youth Nationals Qualifier,US,632.csv
Youth National Last Chance Qualifier,US,1239.csv
Orange Lutheran Open,US,975.csv
Mid-Minnesota High School & Middle School Meet,US,4341.csv
Summer Dream Chaser,US,2730.csv
Gonna Fly Now,US,2056.csv
Boise Barbell Open,US,3348.csv
Heavy Metal HQ 3,US,4427.csv
Guy Carlton Memorial Weightlifting Championships,US,2042.csv
14th HoundWood Gym Pocket-Size Open & Qualifier,US,4433.csv
Louisiana Christmas Invitational,US,4355.csv
Last Chance Youth,US,2724.csv
2012 Rocky Mountain State Games,US,961.csv
Olympia Friendship Cup 2018,US,3412.csv
KIM Barbell Development Meet Fall 2021,US,5063.csv
Norwood Training Center - Last Chance Qualifier,US,1205.csv
PGH Collegiate Qualifier,US,791.csv
Minnesota LWC Championship,US,949.csv
2014 Texas Barbell Club Fundraiser,US,1563.csv
2018 OSS Novice/Youth Invitational,US,3374.csv
Top of Texas Kilo de Mayo,US,3360.csv
2014 Summer Intrepid Invitational,US,1577.csv
Nova Open,US,785.csv
Altitude Athletics Spring Open,US,1211.csv
Commonwealth Series 1,US,4369.csv
Vero Beach Classic,US,3406.csv
Redwood Empire Championships,US,2718.csv
4th bAnnual Jeannie Strong Championships,US,5077.csv
Barbell Collective Open Series TWO,US,4382.csv
PFB Mount Hood Classic,US,2095.csv
2016 Pan American Championships,US,2081.csv
Santa J.K Claus Invitational- no free to reindeer ticket to OKC,US,1588.csv
A Nightmare On Windmill Way Part II - The Snatchening,US,5088.csv
RAIDER OPEN,US,4396.csv
2013 NYC Open Weightlifting championships,US,752.csv
West Chester Developmental Meet #2,US,2917.csv
CrossFit Warwick Open,US,2903.csv
Springcreek Open,US,746.csv
OLYMPIA PHOENIX CUP,US,1985.csv
South Carolina Open,US,4625.csv
AFC Ã¢â‚¬â€œ CWL OLYMPIC LIFTING SPORT COMPETITION 2016,US,2254.csv
Vulkan Weightlifting Spring Open,US,2532.csv
ATP Weightlifting Open 2,US,4143.csv
La Crosse Open,US,5249.csv
June Weightlifting League,US,2526.csv
2018 Jolly Invitational,US,3638.csv
D'Namo Summer Cup 2019,US,4157.csv
Rockford Barbell Fall Open,US,4631.csv
Last Heavy Day Fall Comp,US,2240.csv
Vitruvius Development Meet,US,1749.csv
Relentless Weightlifting,US,1991.csv
CE Barbell In House Meet,US,4619.csv
2018 LBH Classic,US,3176.csv
Illinois State Championships and Open WL Championships,US,2268.csv
Pinnacle Weightlifting Classic,US,1761.csv
Last Chance American Open Qualifier,US,593.csv
Bad Santa Weigthlifting Meet,US,1007.csv
Frederick Open 2022,US,5261.csv
Wyoming Classic,US,3610.csv
2022 Crusader Invitational (NUQ),US,5275.csv
2019 Northeastern United States Weightlifting Competition,US,3604.csv
Utah State Championships,US,1013.csv
CF Rise Qualifier,US,587.csv
South Georgia Kilo Classic,US,1775.csv
Winter lift,US,3162.csv
Battle of Pearl Harbor 2017,US,2297.csv
Barbells and Donuts,US,3189.csv
Mayday Madness Weightlifting Meet,US,1946.csv
Grayskull In-House Meet,US,4180.csv
High Desert Spring Classic,US,3837.csv
AO 3 Last Chance Qualifier,US,4194.csv
The Iron Game Open 2019,US,3823.csv
Last Chance Qualifier,US,578.csv
Waimanalo open,US,1952.csv
Buford Open,US,2283.csv
BlackBox Qualifier Invitational 2015,US,236.csv
Larry Mintz memorial,US,4802.csv
Kentucky Open Championship,US,550.csv
2016 Trident Classic,US,544.csv
Northfield Team Meet,US,4816.csv
Gayle Hatch Christmas Meet,US,222.csv
Georgia Spring Classic,US,552.csv
2019 La Coupe du Voyageur Championship,US,3809.csv
Sunday Series: Judgement Day,US,4800.csv
BlackBox Summer Showdown,US,234.csv
Nature Coast Classic,US,1978.csv
Northshore Summer Meet,US,220.csv
National Police Week Open,US,4814.csv
Olympia Fall Open WLC,US,546.csv
St. Paddy's Open,US,3835.csv
Empower Lift Classic,US,4182.csv
Masters Pam Ams Last Chance Qualifiere,US,208.csv
Port Saint Lucie Weightlifting Open,US,1944.csv
Battle of Fallujah 2017,US,2295.csv
2016 Pan American Masters,US,2281.csv
Archon Weightlifting In-House Meet,US,4828.csv
Burnsville High School Open,US,1788.csv
2016 Biggest Little City Open,US,1950.csv
April Weightlifting Competition,US,3821.csv
(NUQ) Handle Barbell Invitational 2022,US,5288.csv
2019 White Rose Barbell open,US,4196.csv
2018 Mongolian Weightlifting Championships,US,3612.csv
2022 MASS Mania: Round One,US,5263.csv
Waxmans Gym Developmental Meet 7,US,1005.csv
Blaze Barbell Throwdown,US,591.csv
I-STEP Inaugural Invitational,US,1763.csv
Minnesota LWC Championships,US,3174.csv
7TH HoundWood Gym Pocket-Size Open,US,3160.csv
2nd Annual Bridgeport Barbell Club Classic,US,1777.csv
AN Last Chance Qualifier,US,585.csv
2012 Utah Summer Games,US,1011.csv
ECG Gold Cup,US,4169.csv
2018 Fall Team Competition,US,3606.csv
3rd Annual I-STEP Invitational & Developmental Meet,US,2518.csv
Titan Championships,US,5277.csv
Presidents Weekend Bash,US,1039.csv
Jet Engine CrossFit Invitational,US,4141.csv
Chicago Open Weightlifting Competition,US,2530.csv
2017 National Junior Championships,US,2256.csv
ATHLEO OPEN,US,3148.csv
2021 World Masters Championships,US,4627.csv
