meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Koda Kilo,2013-06-22,Open Men's 105 kg,Nick Whitmer,95.5,120,122,125,160,165,167,125,167,292
Koda Kilo,2013-06-22,Open Men's+105 kg,Elijah Young,107.7,105,115,125,130,140,150,125,150,275
Koda Kilo,2013-06-22,Open Men's+105 kg,Jeremy Rutledge,108.2,120,120,130,121,130,140,130,140,270
Koda Kilo,2013-06-22,Open Men's+105 kg,Michael Pfeiffer,118.6,105,115,115,135,142,150,115,150,265
Koda Kilo,2013-06-22,Open Men's 105 kg,Ryan Self,96.5,110,110,115,130,135,135,115,135,250
Koda Kilo,2013-06-22,Open Men's 85 kg,Mark Shockley,83,90,95,95,125,125,137,95,137,232
Koda Kilo,2013-06-22,Open Men's 85 kg,Matt Rundle,83.5,83,90,95,120,127,130,95,130,225
Koda Kilo,2013-06-22,Open Men's 94 kg,Michael Malmfeldt,91.1,70,75,77,110,115,115,77,115,192
Koda Kilo,2013-06-22,Open Men's 77 kg,Thomas Amicucci,77,75,80,80,92,100,100,80,100,180
Koda Kilo,2013-06-22,Open Men's 62 kg,Jon Mance,60,71,75,75,90,95,95,75,95,170
Koda Kilo,2013-06-22,Open Women's 69 kg,Kristy Johnson,69,38,43,43,55,61,66,43,66,109
Koda Kilo,2013-06-22,Open Women's 48 kg,Carolyn Napier,48,35,45,50,45,50,55,50,55,105
