meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Naples Winter Open 2019,2019-01-12,Open Men's 102kg,Melvin Jensen,101.9,110,116,121,131,138,145,121,145,266
Naples Winter Open 2019,2019-01-12,Open Men's 81kg,Brian Gavra,79.1,90,94,95,125,130,130,95,130,225
Naples Winter Open 2019,2019-01-12,Open Men's 89kg,Troy Lytell,86.4,62,62,66,79,84,89,66,89,155
Naples Winter Open 2019,2019-01-12,Women's Masters (35-39) 71kg,Cherisse Taylor,69.9,65,70,70,75,78,82,70,82,152
Naples Winter Open 2019,2019-01-12,Women's Masters (35-39) 71kg,Laura Montgomery,65,55,58,61,68,73,78,61,78,139
Naples Winter Open 2019,2019-01-12,Women's Masters (35-39) 55kg,Katrina Harmaty,53,40,44,46,56,58,65,46,65,111
Naples Winter Open 2019,2019-01-12,Open Women's 55kg,Margaret Hult,51.9,43,46,46,58,62,64,46,64,110
Naples Winter Open 2019,2019-01-12,Open Women's 55kg,Daisy de la Cruz,54.5,42,42,42,55,62,66,42,66,108
Naples Winter Open 2019,2019-01-12,Women's Masters (40-44) 45kg,Janet Chow,43.4,37,37,37,46,49,52,37,52,89
Naples Winter Open 2019,2019-01-12,Women's Masters (50-54) 45kg,lisa reddish,30,33,35,35,48,51,54,35,54,89
Naples Winter Open 2019,2019-01-12,Women's Masters (60-64) 87kg,Joyce Kaufman,86,26,28,30,35,38,40,30,40,70
