meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 94 kg,Jon Zajac,88.2,127,132,137,155,-160,-163,137,155,292
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 105 kg,James Weathers,94,126,131,-136,147,151,155,131,155,286
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's+105 kg,Bryan Boulden,105.8,115,120,125,140,145,-150,125,145,270
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's+105 kg,Joseph Hancuff,112.3,110,120,-128,145,150,-160,120,150,270
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 85 kg,Elias Roman,85,115,-120,-122,145,-150,150,115,150,265
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 105 kg,Robert Adamire,104.8,-117,117,122,140,-144,-144,122,140,262
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 105 kg,Tim Adams,102.2,104,108,113,132,137,143,113,143,256
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 94 kg,Kurt Broadwater,90.6,100,105,-110,130,135,140,105,140,245
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 77 kg,Willie Day,76.4,101,-106,106,130,135,-138,106,135,241
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 85 kg,Aaron Snyder,79.9,-100,100,-120,115,125,136,100,136,236
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 94 kg,Kristoffer Gundrum,93.1,98,-100,104,126,131,-135,104,131,235
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's+105 kg,Eric Hancock,121.3,92,98,103,125,132,-140,103,132,235
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 94 kg,Jason Morstein,93.4,105,-109,-109,-120,123,126,105,126,231
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's+105 kg,Brandon Williams,162.9,95,101,106,120,-127,-130,106,120,226
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 69 kg,Lee King,66.5,93,98,-103,-123,123,-133,98,123,221
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 85 kg,Joseph Cunningham,82.7,92,96,98,115,122,-125,98,122,220
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 85 kg,Matt Mangus,84.9,-92,-94,94,115,122,-130,94,122,216
3rd Annual White Rose Barbell Open,2016-10-09,Open Men's 62 kg,Matthew Yung,61.3,92,-96,-96,120,-125,-125,92,120,212
