meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Spring Developmental Meet,2024-03-15,Open Men's 102kg,Ishban Aziz,99,105,110,115,135,140,-145,115,140,255
Spring Developmental Meet,2024-03-15,Men's Masters (45-49) 102kg,Scott Jacobs,101.3,70,75,80,120,125,-128,80,125,205
Spring Developmental Meet,2024-03-15,Open Men's 67kg,Alex  Alonso ,64.5,75,80,85,93,98,103,85,103,188
Spring Developmental Meet,2024-03-15,Open Men's 73kg,Michael Pangrazi,72.7,72,76,-80,93,97,100,76,100,176
Spring Developmental Meet,2024-03-15,Men's 16-17 Age Group 67kg,Kurtis Leopold,67,57,61,65,75,80,86,65,86,151
Spring Developmental Meet,2024-03-15,Men's 16-17 Age Group 67kg,Biji  Blagoev,63.8,61,63,65,75,80,83,65,83,148
Spring Developmental Meet,2024-03-15,Open Women's 64kg,Annie Gough,60.1,63,65,67,74,77,80,67,80,147
Spring Developmental Meet,2024-03-15,Men's Masters (50-54) 81kg,Dmitry Melnik,80.1,55,58,62,77,82,85,62,85,147
Spring Developmental Meet,2024-03-15,Open Men's 73kg,Misha Melnik,71.6,56,-58,60,78,81,-85,60,81,141
Spring Developmental Meet,2024-03-15,Open Women's 64kg,Maeva Rulis,60.2,52,55,58,68,-71,72,58,72,130
Spring Developmental Meet,2024-03-15,Men's 14-15 Age Group 67kg,Andrew Avila,64,50,52,55,70,73,-75,55,73,128
Spring Developmental Meet,2024-03-15,Open Women's 81kg,Eileen Brown,80.7,48,-50,50,60,63,-65,50,63,113
Spring Developmental Meet,2024-03-15,Open Women's +87kg,Kristin Kerin,97.4,38,41,43,48,51,54,43,54,97
Spring Developmental Meet,2024-03-15,Open Women's 64kg,Maria Martinez,63,36,-38,38,50,53,56,38,56,94
Spring Developmental Meet,2024-03-15,Open Women's 71kg,Lauren  Resch,70.3,36,38,41,45,-48,49,41,49,90
Spring Developmental Meet,2024-03-15,Open Women's 71kg,Jordan Turney,70.3,32,34,36,46,49,52,36,52,88
Spring Developmental Meet,2024-03-15,Open Women's 64kg,Dahlia Matzner,60.7,30,33,35,38,41,-44,35,41,76
Spring Developmental Meet,2024-03-15,Open Women's 49kg,Hannah Sirdofsky,47.7,28,31,-34,39,42,-44,31,42,73
Spring Developmental Meet,2024-03-15,Men's 13 Under Age Group 55kg,Jackson Benchener,53,25,27,-29,33,35,37,27,37,64
Spring Developmental Meet,2024-03-15,Men's 13 Under Age Group 44kg,Roman Costa,41.5,19,21,23,29,31,33,23,33,56
