meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 109kg,Jacob Mattrella,102.7,-140,145,-150,-172,178,-182,145,178,323
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 102kg,Gregory Pulliam,97.05,138,143,-146,165,170,-175,143,170,313
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 96kg,Anthony DeCristofaro,93.65,133,137,-142,-170,170,175,137,175,312
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 96kg,Matthew Gunnin,95.5,125,-130,-130,165,-170,-170,125,165,290
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 96kg,Matthew Fencik,95.6,120,122,125,155,160,163,125,163,288
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 96kg,Richard Roberds,93.15,95,103,110,125,133,138,110,138,248
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 81kg,Luke Schwartz,77.5,-100,100,105,130,135,140,105,140,245
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 81kg,Calvin Chern,80.35,105,-110,110,125,130,-136,110,130,240
2018 ALLSOUTH Invitational,2018-08-18,Men's 14-15 Age Group 55kg,Hampton Morris,54.7,78,82,86,100,105,110,86,110,196
2018 ALLSOUTH Invitational,2018-08-18,Open Women's 64kg,Danielle Gunnin,63.6,82,84,-86,100,-103,103,84,103,187
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 81kg,Robert Hoffman,74,75,78,80,95,100,105,80,105,185
2018 ALLSOUTH Invitational,2018-08-18,Open Women's 76kg,Elyse Ferguson,73.3,-80,80,-84,-99,99,-104,80,99,179
2018 ALLSOUTH Invitational,2018-08-18,Men's 14-15 Age Group +89kg,Ethan Enfinger,102.7,72,75,-77,94,98,-102,75,98,173
2018 ALLSOUTH Invitational,2018-08-18,Open Women's 71kg,Devon Fischer,70.9,65,-70,72,90,95,-100,72,95,167
2018 ALLSOUTH Invitational,2018-08-18,Open Women's 59kg,Brooklyn Shaw,56.8,70,72,74,85,88,-90,74,88,162
2018 ALLSOUTH Invitational,2018-08-18,Open Women's 71kg,Shannon St. John,68.8,64,67,70,79,83,-88,70,83,153
2018 ALLSOUTH Invitational,2018-08-18,Women's Masters (35-39) 55kg,Rachael Bommicino,54.05,63,-65,67,80,82,84,67,84,151
2018 ALLSOUTH Invitational,2018-08-18,Women's Masters (40-44) 81kg,Elaine Mills,79,57,59,61,80,85,-89,61,85,146
2018 ALLSOUTH Invitational,2018-08-18,Open Women's 55kg,Bre Farrand,54.5,58,-61,62,78,81,83,62,83,145
2018 ALLSOUTH Invitational,2018-08-18,Open Men's 89kg,Caden Bush,84,60,64,-66,74,78,80,64,80,144
2018 ALLSOUTH Invitational,2018-08-18,Women's Masters (35-39) 45kg,Kimberly McLeish,44.4,55,58,60,65,68,70,60,70,130
2018 ALLSOUTH Invitational,2018-08-18,Men's 14-15 Age Group 55kg,Logan Davies,54.7,51,54,-57,70,75,-78,54,75,129
2018 ALLSOUTH Invitational,2018-08-18,Open Women's 71kg,Amber Casciano,65.25,67,70,-72,-86,-86,-87,70,0,70
2018 ALLSOUTH Invitational,2018-08-18,Women's 13 Under Age Group 45kg,Millie Tainow,42.2,13,15,17,21,23,25,17,25,42
