meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
True Fit Open,2017-07-08,Open Men's 94 kg,Jared Stace,85.75,113,118,123,140,146,150,123,150,273
True Fit Open,2017-07-08,Open Men's 94 kg,Zach Dyer,90.65,118,121,-125,145,150,-155,121,150,271
True Fit Open,2017-07-08,Open Men's 94 kg,Zachary Mobius,93.3,110,115,-120,135,140,145,115,145,260
True Fit Open,2017-07-08,Open Men's 85 kg,Sergiy Turchyn,81.15,98,-103,-103,128,-133,0,98,128,226
True Fit Open,2017-07-08,Open Men's 85 kg,Tyler Leitza,84.7,90,95,-103,-120,125,-130,95,125,220
True Fit Open,2017-07-08,Open Men's 105 kg,Evan Stump,104.2,80,85,87,120,127,-132,87,127,214
True Fit Open,2017-07-08,Open Men's 94 kg,Michael Vano,93.95,85,-88,-90,-118,118,-121,85,118,203
True Fit Open,2017-07-08,Open Men's 85 kg,Neal Edgren,83.5,77,81,86,106,110,113,86,113,199
True Fit Open,2017-07-08,Open Men's 85 kg,Ryan Ramirez,82.6,77,80,-83,92,-96,96,80,96,176
True Fit Open,2017-07-08,Open Men's 94 kg,Christopher Reed,89.05,65,67,71,85,-88,90,71,90,161
True Fit Open,2017-07-08,Open Women's +90 kg,Emily Bingley,118.35,67,-72,-75,90,-93,-93,67,90,157
True Fit Open,2017-07-08,Open Women's 63 kg,Alexandra Restelli,62.92,60,63,65,82,85,-89,65,85,150
True Fit Open,2017-07-08,Open Women's 90 kg,Kelsi Reynolds,76.7,56,58,-60,83,-87,-88,58,83,141
True Fit Open,2017-07-08,Women's Masters (45-49) 69 kg,Michelle Viets,68.91,53,56,-60,68,72,-74,56,72,128
True Fit Open,2017-07-08,Open Women's +90 kg,Nichole Carpenter,101.4,55,-57,-57,63,67,68,55,68,123
True Fit Open,2017-07-08,Women's Masters (35-39) 75 kg,Erin Martin,70.2,-50,50,-55,-72,72,-75,50,72,122
True Fit Open,2017-07-08,Open Men's+105 kg,Mark SOLOMON,118.95,-105,-105,-107,0,0,0,0,0,0
