meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
The $6 Dare,2024-02-03,Open Men's 96kg,Jaimerius Williams,94.8,125,130,137,150,160,170,137,170,307
The $6 Dare,2024-02-02,Men's Masters (40-44) 109kg,Brandon Duffner,106.4,98,103,107,123,128,-130,107,128,235
The $6 Dare,2024-02-24,Open Men's 96kg,Christian  Velez,92.8,95,100,-105,130,-135,-135,100,130,230
The $6 Dare,2024-02-01,Open Men's 96kg,Jesse Sanborn,91,84,89,95,121,127,130,95,130,225
The $6 Dare,2024-02-23,Open Men's 81kg,Josue Paredes,79.5,82,87,90,114,119,125,90,125,215
The $6 Dare,2024-02-27,Junior Men's 89kg,Luke Stevens,85.7,-89,89,93,112,-118,118,93,118,211
The $6 Dare,2024-01-29,Women's Masters (35-39) 76kg,Mahassen Paiva,71.6,92,95,98,105,-112,112,98,112,210
The $6 Dare,2024-02-29,Junior Men's 89kg,Jack Quigley,83.7,-88,89,92,-112,112,-118,92,112,204
The $6 Dare,2024-01-30,Men's Masters (35-39) 81kg,Jeffrey Boughton,78.3,86,-90,-90,105,110,115,86,115,201
The $6 Dare,2024-02-22,Open Men's 89kg,Reinaldo Dos santos,85.4,-80,80,-84,100,105,112,80,112,192
The $6 Dare,2024-03-01,Men's 16-17 Age Group 81kg,James Thomas,75.3,76,81,85,95,100,105,85,105,190
The $6 Dare,2024-01-27,Open Men's 96kg,Nolan Schillerstrom,91,75,78,81,90,95,100,81,100,181
The $6 Dare,2024-02-28,Junior Men's 73kg,Zachary Starnes,70.2,77,-80,-80,100,104,-108,77,104,181
The $6 Dare,2024-02-14,Open Women's +87kg,Sara Manesiotis,88.5,65,68,71,92,96,100,71,100,171
The $6 Dare,2024-02-21,Open Men's 73kg,Frank Sclafani,68,60,64,69,92,97,102,69,102,171
The $6 Dare,2024-02-18,Men's 16-17 Age Group 73kg,Nicholas Bedin,68.1,64,68,71,89,92,95,71,95,166
The $6 Dare,2024-02-13,Women's Masters (35-39) 81kg,Kristin Violette,77.9,66,70,-75,84,88,92,70,92,162
The $6 Dare,2024-02-19,Junior Men's 81kg,Benjamin Smilowitz,76.2,62,65,70,88,-93,-95,70,88,158
The $6 Dare,2024-02-26,Men's 16-17 Age Group +102kg,Ahmad Minor,106.5,50,55,60,70,80,85,60,85,145
The $6 Dare,2024-01-28,Men's Masters (60-64) 81kg,Teddy Binette,81,56,60,63,75,80,-82,63,80,143
The $6 Dare,2024-02-11,Open Women's 64kg,Hanna Dawson,60.2,50,55,58,63,68,72,58,72,130
The $6 Dare,2024-02-10,Open Women's 76kg,Jeana Boughton,71.1,50,54,57,60,65,70,57,70,127
The $6 Dare,2024-02-17,Men's 14-15 Age Group 73kg,Alexis Robbins,70.3,45,50,55,60,67,71,55,71,126
The $6 Dare,2024-02-09,Women's Masters (35-39) 71kg,Carly Jamieson,67.6,48,51,54,60,64,69,54,69,123
The $6 Dare,2024-02-08,Women's Masters (45-49) 81kg,Audra Lavik,79.3,47,51,54,60,63,66,54,66,120
The $6 Dare,2024-02-07,Women's Masters (55-59) 71kg,Sheryl Soule,69.7,45,48,-50,55,59,63,48,63,111
The $6 Dare,2024-02-16,Men's 14-15 Age Group +89kg,Ethan Walker,98.5,43,46,-50,53,58,61,46,61,107
The $6 Dare,2024-02-06,Women's Masters (50-54) 59kg,Patricia Moeller,57.7,36,39,42,48,52,55,42,55,97
The $6 Dare,2024-02-04,Open Women's 81kg,Stephanie Gonzalez,79.6,35,40,-42,42,47,50,40,50,90
The $6 Dare,2024-02-05,Open Women's 87kg,BriAnna  Holley ,81.6,35,40,-45,45,50,-55,40,50,90
The $6 Dare,2024-02-12,Women's 14-15 Age Group +76kg,Nyanza Wilson,117.5,32,35,38,40,45,50,38,50,88
The $6 Dare,2024-02-20,Men's Masters (65-69) 89kg,John Strasburger,83.5,34,-37,38,43,46,49,38,49,87
The $6 Dare,2024-02-15,Men's 14-15 Age Group 61kg,Jack Landa,58.5,28,31,34,37,41,-45,34,41,75
