event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
Larvik AK Regionsmesterskap,2023-06-10,male - Veteran Menn over 55,Atle Rønning Kauppinen,81,78,81,83,105,110,112,83,112,195
Larvik AK Regionsmesterskap,2023-06-10,male - Senior Menn,Bjønn Åmund Nordjore,102,105,110,-113,130,-135,-135,110,130,240
Larvik AK Regionsmesterskap,2023-06-10,male - Senior Menn,Erlend Raastad,102,113,-120,-123,150,160,-172,113,160,273
Larvik AK Regionsmesterskap,2023-06-10,male - Senior Menn,Nikolaj Bache Ruud,89,85,-90,-90,107,112,-116,85,112,197
Larvik AK Regionsmesterskap,2023-06-10,male - Senior Menn,Ole Christiansen,102,110,115,118,140,146,150,118,150,268
Larvik AK Regionsmesterskap,2023-06-10,male - Veteran Menn over 80,Ole Kolbjørn Bjerkholt,102,46,50,52,62,65,-67,52,65,117
Larvik AK Regionsmesterskap,2023-06-10,male - Veteran Menn over 60,Terje Gulvik,81,70,75,-77,90,95,-100,75,95,170
Larvik AK Regionsmesterskap,2023-06-10,male - Veteran Menn over 55,Tom Danielsen,81,-72,72,76,87,92,0,76,92,168
