event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
Vigrestad IK Seriestevne,2026-01-28,female - Junior Kvinner,Milla Bøckman,63,33,-36,-38,41,44,-47,33,44,77
Vigrestad IK Seriestevne,2026-01-28,male - Ungdom Menn,Elias K. Engelsvoll,56,16,18,19,19,20,22,19,22,41
Vigrestad IK Seriestevne,2026-01-28,male - Ungdom Menn,Leander Lindmo Vold,56,12,13,-14,16,18,20,13,20,33
Vigrestad IK Seriestevne,2026-01-28,male - Ungdom Menn,Rune Vold,56,25,27,-29,35,37,-39,27,37,64
Vigrestad IK Seriestevne,2026-01-28,male - Ungdom Menn,Thor Engelsvoll,88,49,50,-53,60,-63,63,50,63,113
Vigrestad IK Seriestevne,2026-01-28,female - Veteran Kvinner over 40,Camilla Ulvøy,77,60,62,64,75,80,85,64,85,149
Vigrestad IK Seriestevne,2026-01-28,male - Veteran Menn over 40,Ronny Gudmestad,79,75,80,85,105,110,115,85,115,200
Vigrestad IK Seriestevne,2026-01-28,female - Ungdom Kvinner,Jenny Matnisdal,44,11,12,13,16,17,18,13,18,31
