event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 35,Robin Røed-Andresen,94,100,-107,107,135,-140,142,107,142,249
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 35,Szymon Aleksander Korzeniowski,110,84,-88,-92,110,115,119,84,119,203
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 35,Steinar A. Aas,999,85,90,0,116,122,126,90,126,216
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 35,Dennis Åkre Danielsen,110,105,110,-113,142,-148,148,110,148,258
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 35,John Anders Terland,999,95,104,108,-120,120,124,108,124,232
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 40,Pavel Petukhov,110,85,90,-93,100,-107,-107,90,100,190
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 45,Truls H. Grimstad,110,90,-100,100,-120,120,130,100,130,230
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 45,Kenneth Rusek,999,50,53,-55,70,77,80,53,80,133
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 50,Michael Dagsland Ravneng,79,25,27,-29,30,33,-35,27,33,60
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 55,Lars-Thomas Grønlien,94,-70,70,-76,80,84,-88,70,84,154
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 55,Cornelius Wiedswang,110,56,60,61,66,70,74,61,74,135
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 60,Atle Rønning Kauppinen,79,65,71,75,93,98,100,75,100,175
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 65,Lars Hage,94,50,55,57,70,75,-80,57,75,132
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 65,Geir Hestmann,110,70,74,-76,65,70,72,74,72,146
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 65,Pål Andersen,110,47,50,53,55,60,64,53,64,117
Spydeberg Atletene Landsdelsmesterskap,2026-01-17,male - Veteran Menn over 70,Johan Thonerud,94,46,48,50,60,65,67,50,67,117
