event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
Nidelv IL Nasjonalt stevne,2025-12-28,female - Senior Kvinner,Anette F. Høyland,999,73,77,83,100,105,-108,83,105,188
Nidelv IL Nasjonalt stevne,2025-12-28,male - Ungdom Menn,Naser Mohammed,60,25,30,35,0,0,0,35,0.0,0.0
Nidelv IL Nasjonalt stevne,2025-12-28,male - Junior Menn,Adrian Rosmæl Skauge,94,111,115,0,-122,127,0,115,127,242
Nidelv IL Nasjonalt stevne,2025-12-28,male - Senior Menn,Ragnar Dreier,94,105,110,112,130,-137,137,112,137,249
Nidelv IL Nasjonalt stevne,2025-12-28,male - Veteran Menn over 60,Iver Klingenberg,110,55,-58,-58,65,70,-73,55,70,125
Nidelv IL Nasjonalt stevne,2025-12-28,male - Senior Menn,William Hjelde Stormoen,110,100,105,-108,127,-133,-133,105,127,232
