event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Scottish Weightlifting Championships,2022-05-21,Men's Junior Under 20 96Kg,Drew Burns,92.7,127,132,135,157,162,165,135,165,300
Scottish Weightlifting Championships,2022-05-21,Men's Masters (35-39) 96Kg,David Steel,96,125,-130,-133,162,-167,-168,125,162,287
Scottish Weightlifting Championships,2022-05-21,Men's Senior 102Kg,Gary Barker,100.2,-125,125,130,156,-160,-160,130,156,286
Scottish Weightlifting Championships,2022-05-21,Men's Under 23 102Kg,Jay Carmichael,98.5,125,129,132,150,-155,-160,132,150,282
Scottish Weightlifting Championships,2022-05-21,Men's Senior 109Kg,John Mcindoe,107.8,-120,120,125,156,-161,-161,125,156,281
Scottish Weightlifting Championships,2022-05-21,Men's Under 23 109+Kg,Ewan Harrison,145.1,110,118,120,145,153,-160,120,153,273
Scottish Weightlifting Championships,2022-05-21,Men's Under 23 89Kg,Jason Epton,85.6,110,-115,116,150,-160,-160,116,150,266
Scottish Weightlifting Championships,2022-05-21,Men's Senior 109+Kg,Callum Downie,114.9,111,-116,-116,150,-156,0,111,150,261
Scottish Weightlifting Championships,2022-05-21,Men's Junior Under 20 89Kg,Henry Axon,84.5,107,111,115,130,135,140,115,140,255
Scottish Weightlifting Championships,2022-05-21,Men's Senior 109Kg,Jason Hagart,104.6,110,115,120,130,-135,-140,120,130,250
Scottish Weightlifting Championships,2022-05-21,Men's Junior Under 20 96Kg,Aiden Sheeran,91.9,-105,105,-112,140,-150,-155,105,140,245
Scottish Weightlifting Championships,2022-05-21,Men's Senior 109Kg,Matthew Byers,106.6,105,-112,-112,125,132,140,105,140,245
Scottish Weightlifting Championships,2022-05-21,Men's Under 23 102Kg,Ben Slessor,100.3,99,-101,101,130,132,-135,101,132,233
Scottish Weightlifting Championships,2022-05-21,Men's Senior 73Kg,Gilbert North,72.7,101,105,107,125,-130,-131,107,125,232
Scottish Weightlifting Championships,2022-05-21,Men's Junior Under 20 81Kg,Aedan Milne,80.2,-99,-103,103,121,126,-132,103,126,229
Scottish Weightlifting Championships,2022-05-21,Men's Masters (35-39) 89Kg,Dimitris Panagiotakopoulos,85.4,95,-100,100,120,125,-128,100,125,225
Scottish Weightlifting Championships,2022-05-21,Men's Senior 81Kg,Adam Bryce,80.6,88,-92,92,120,-125,125,92,125,217
Scottish Weightlifting Championships,2022-05-21,Men's Senior 67Kg,Antonio Capavanni,66.3,95,-100,101,115,-121,-125,101,115,216
Scottish Weightlifting Championships,2022-05-21,Men's Senior 81Kg,Steven Mcallan,78.8,95,-98,-98,-120,-121,121,95,121,216
Scottish Weightlifting Championships,2022-05-21,Men's Masters (35-39) 81Kg,Max Buchanan,81,93,-97,97,-117,-117,117,97,117,214
Scottish Weightlifting Championships,2022-05-21,Men's Senior 73Kg,George Kinnell,72.2,88,91,-94,118,121,-125,91,121,212
Scottish Weightlifting Championships,2022-05-21,Women's Under 23 76Kg,Alice Aitchison,73.8,85,-88,88,110,-115,-115,88,110,198
Scottish Weightlifting Championships,2022-05-21,Men's Youth Under 17 67Kg,rhys deeley,66.9,-82,-85,85,105,110,-115,85,110,195
Scottish Weightlifting Championships,2022-05-21,Men's Junior Under 20 67Kg,ally mcgrath,64.8,80,84,87,105,-110,-115,87,105,192
Scottish Weightlifting Championships,2022-05-21,Women's Under 23 87Kg,Alexandra Lesayova,85.6,70,-75,76,95,-100,-103,76,95,171
Scottish Weightlifting Championships,2022-05-21,Women's Senior 71Kg,Sheli McCoy,67.6,70,-75,75,87,92,95,75,95,170
Scottish Weightlifting Championships,2022-05-21,Women's Senior 87Kg,Sydney Maxwell,85.4,72,75,-78,-93,95,-99,75,95,170
Scottish Weightlifting Championships,2022-05-21,Women's Senior 64Kg,Beth Ashbee,63.4,-75,-75,75,85,-90,90,75,90,165
Scottish Weightlifting Championships,2022-05-21,Women's Senior 71Kg,Emma Bruce,69,71,74,-76,88,-92,-94,74,88,162
Scottish Weightlifting Championships,2022-05-21,Women's Masters (40-44) 76Kg,christine smithson,73.6,60,63,66,85,-88,-88,66,85,151
Scottish Weightlifting Championships,2022-05-21,Women's Senior 71Kg,Morven Fraser,68.4,-60,60,64,72,76,80,64,80,144
Scottish Weightlifting Championships,2022-05-21,Women's Senior 59Kg,Ruby Rose Jackson,58.6,58,61,63,77,80,-82,63,80,143
Scottish Weightlifting Championships,2022-05-21,Women's Masters (35-39) 64Kg,Nicola Grant,64,58,61,63,72,75,77,63,77,140
Scottish Weightlifting Championships,2022-05-21,Women's Masters (35-39) 64Kg,Julie Wilson,63.8,58,62,-65,75,77,-80,62,77,139
Scottish Weightlifting Championships,2022-05-21,Women's Senior 64Kg,Joanne Mcgurk,62.8,55,58,61,71,74,77,61,77,138
Scottish Weightlifting Championships,2022-05-21,Women's Under 23 59Kg,Kelly Skea,58.3,57,60,-63,77,-81,-81,60,77,137
Scottish Weightlifting Championships,2022-05-21,Women's Senior 71Kg,Niamh Gallagher,66.2,55,59,62,70,74,-76,62,74,136
Scottish Weightlifting Championships,2022-05-21,Women's Masters (35-39) 76Kg,Sarah-Anne Duncan,76,58,-60,-60,78,0,0,58,78,136
Scottish Weightlifting Championships,2022-05-21,Women's Senior 76Kg,Shona Mckirdy,73.3,-59,60,62,73,-76,-76,62,73,135
Scottish Weightlifting Championships,2022-05-21,Women's Senior 64Kg,Martyna Hildebrandt,60.7,-54,55,57,70,-74,74,57,74,131
Scottish Weightlifting Championships,2022-05-21,Women's Senior 64Kg,Beata Korba,62.6,55,58,-61,-73,-73,73,58,73,131
Scottish Weightlifting Championships,2022-05-21,Women's Senior 71Kg,Amy Cochrane,70.5,55,57,59,66,-70,71,59,71,130
Scottish Weightlifting Championships,2022-05-21,Women's Youth Under 17 71Kg,Hannah Spence,70.8,56,-58,58,68,72,-74,58,72,130
Scottish Weightlifting Championships,2022-05-21,Women's Junior Under 20 59Kg,Alivia Smith,57.7,56,59,-61,67,-70,70,59,70,129
Scottish Weightlifting Championships,2022-05-21,Women's Senior 59Kg,Sarah Casement,57.7,56,-58,58,66,68,-72,58,68,126
Scottish Weightlifting Championships,2022-05-21,Women's Under 23 59Kg,Sarah Eunson,58.7,50,52,54,70,-74,-76,54,70,124
Scottish Weightlifting Championships,2022-05-21,Women's Senior 64Kg,Giedre Ivaskaite,62.8,47,51,-55,67,-71,72,51,72,123
Scottish Weightlifting Championships,2022-05-21,Women's Youth Under 17 49Kg,Jorja McNaughton,48.8,52,-55,55,64,67,-70,55,67,122
Scottish Weightlifting Championships,2022-05-21,Women's Under 23 55Kg,Vasiliki Katsorida,54.3,46,49,52,63,65,67,52,67,119
Scottish Weightlifting Championships,2022-05-21,Women's Senior 59Kg,Serife Ustuner,57.2,-45,45,48,63,66,69,48,69,117
Scottish Weightlifting Championships,2022-05-21,Women's Masters (40-44) 87+Kg,Helen Robertson,101.4,-55,55,59,-55,-55,-55,59,0,59
Scottish Weightlifting Championships,2022-05-21,Men's Senior 73Kg,Lucas Clarke,72.7,-96,-96,-96,0,0,0,0,0,0
Scottish Weightlifting Championships,2022-05-21,Women's Senior 71Kg,Eleanor Jenkinson,70.7,-65,-65,-65,0,0,0,0,0,0
