event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 89Kg,Craig Richey,87.6,135,140,144,155,160,165,144,165,309
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 96Kg,Harry Nelms,95.6,129,132,-135,169,-174,-174,132,169,301
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 102Kg,James Wales,101.6,-110,115,120,150,-155,155,120,155,275
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 102Kg,William Guo,100.6,110,115,120,138,145,-150,120,145,265
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 96Kg,Charlie Norton Sherwood,90,-94,-94,120,125,-131,0,120,125,245
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 102Kg,James Newman,98.6,105,-114,-114,-135,-135,135,105,135,240
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 96Kg,Lewis Wong,93.6,98,103,-108,120,126,130,103,130,233
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 102Kg,Ryan Kelly,99.4,100,105,-111,125,-130,-130,105,125,230
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 73Kg,russell Davies,72.6,-95,97,-100,120,124,126,97,126,223
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 102Kg,Oliver White,100.8,-100,100,-106,120,-125,-125,100,120,220
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 102Kg,Nicholas Gerber,98,90,-94,-94,120,125,-131,90,125,215
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 96Kg,Joshua Kersley,92.4,80,85,90,100,110,115,90,115,205
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 96Kg,Luke Stephen,91.6,-85,85,-90,-105,105,111,85,111,196
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 81Kg,James Hegarty O'Dowd,75.4,85,-90,-91,105,-110,110,85,110,195
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 76Kg,Georgia Radley,75.95,85,-88,88,-106,106,-110,88,106,194
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 81Kg,Anthony Chen,80.8,82,85,-87,100,105,-110,85,105,190
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 71Kg,Lianne Brown,69.2,78,81,-85,97,101,105,81,105,186
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 89Kg,Parkin Brewer,88,72,-75,75,98,103,110,75,110,185
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 89Kg,Matthew Tinsley,88.8,77,80,82,95,98,101,82,101,183
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 102Kg,Kevin Synnott,97.7,75,78,-81,98,-101,103,78,103,181
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 81Kg,Ben McKenzie,79.2,75,77,79,97,99,102,79,102,181
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 67Kg,Federico Mondelli,64.4,-77,77,80,95,100,-103,80,100,180
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 81Kg,Matthew Raleigh,78,75,78,-81,-90,90,-94,78,90,168
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 71Kg,Lacey Mackenzie,70.8,-67,-67,67,94,97,-100,67,97,164
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 59Kg,Lauren Smith,58.4,-66,66,70,80,85,90,70,90,160
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 59Kg,Isabel Deacon,58.4,-66,66,70,80,85,90,70,90,160
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 71Kg,Gemma Exelby,69.4,65,70,-73,80,85,-90,70,85,155
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 76Kg,Vicki King,72.4,60,65,-70,80,85,-90,65,85,150
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 71Kg,Alexandra Bovey,68,56,59,-61,71,-74,74,59,74,133
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 55Kg,Kate Rattley,54.6,-53,53,56,75,-78,-78,56,75,131
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 81Kg,James Tansey,79.6,52,55,57,67,-71,71,57,71,128
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 81Kg,Rhiannon Devaney,80.8,-53,-53,55,65,70,-75,55,70,125
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 55Kg,Molly Bishop,54.8,-50,50,-53,68,70,72,50,72,122
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 87+Kg,Eline Folkestadås,89,54,57,-60,64,-68,-70,57,64,121
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 71Kg,Anna Farrell,68,40,43,46,65,68,72,46,72,118
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 87+Kg,Emily Linnane,87.4,51,-53,-53,65,-70,-70,51,65,116
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 81Kg,Jasmine Forster,80,42,-45,47,62,65,-68,47,65,112
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 59Kg,Afreen Akthar,58.8,42,45,47,59,62,-69,47,62,109
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 87+Kg,Louise Oldham,87.6,30,35,38,45,50,-55,38,50,88
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 76Kg,Abbie Whiddett,72.6,53,57,61,-75,-75,-75,61,0,0
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 89Kg,Steven Jackson,85,-50,-50,-50,-58,58,-62,0,58,0
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 89Kg,Lee Smith,88,-62,-62,62,-90,-91,-91,62,0,0
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 81Kg,Damian Mulcock,80.2,-70,70,-73,-94,-94,-94,70,0,0
Hampshire Weightlifitng Champs - Spring,2024-03-03,Men's Senior 96Kg,Michael Cutler,95.8,-130,-130,-130,0,0,0,0,0,0
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 64Kg,Tessa Brice,62.6,-45,-45,-45,55,58,61,0,61,0
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 49Kg,Bryony king,48,43,-46,-46,-58,-58,-58,43,0,0
Hampshire Weightlifitng Champs - Spring,2024-03-03,Women's Senior 87+Kg,Tatyana Kantor,95.8,-50,-50,-50,59,63,66,0,66,0
