event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Welsh Open Champioships 2019,2019-10-12,Men's Junior Under 20 109Kg,Jordan Sakkas,102.5,-134,134,140,170,178,-182,140,178,318
Welsh Open Champioships 2019,2019-10-12,Men's Senior 102Kg,Theo Morgan,100,-130,130,-135,155,160,161,130,161,291
Welsh Open Champioships 2019,2019-10-12,Men's Under 23 102Kg,Filip Taylor,96.9,116,120,-123,145,150,-156,120,150,270
Welsh Open Champioships 2019,2019-10-12,Men's Junior Under 20 102Kg,Harry Nelms,102,115,-120,-120,150,155,-158,115,155,270
Welsh Open Champioships 2019,2019-10-12,Men's Under 23 89Kg,Tom Ingram,81.8,113,117,120,135,140,145,120,145,265
Welsh Open Champioships 2019,2019-10-12,Men's Senior 96Kg,Guto Hughes,92.4,-114,114,119,-135,135,145,119,145,264
Welsh Open Champioships 2019,2019-10-12,Men's Junior Under 20 73Kg,Michael Farmer,67.9,-118,-118,118,145,0,0,118,145,263
Welsh Open Champioships 2019,2019-10-12,Men's Masters (40-44) 96Kg,jason stephenson,95.9,115,120,122,136,-143,-146,122,136,258
Welsh Open Champioships 2019,2019-10-12,Men's Masters (35-39) 96Kg,Tom Jolly,91.7,110,114,118,-135,-135,135,118,135,253
Welsh Open Champioships 2019,2019-10-12,Men's Senior 81Kg,Joseph Cowen,80.6,112,-117,-117,135,-140,140,112,140,252
Welsh Open Champioships 2019,2019-10-12,Men's Senior 89Kg,David Lewis,83.9,110,-113,-113,-140,140,-147,110,140,250
Welsh Open Champioships 2019,2019-10-12,Men's Senior 81Kg,Allan Young,80.2,105,110,-114,-135,135,138,110,138,248
Welsh Open Champioships 2019,2019-10-12,Men's Senior 89Kg,William Bevan,86.9,107,-111,111,135,-140,-140,111,135,246
Welsh Open Champioships 2019,2019-10-12,Men's Senior 96Kg,Max Buchanan,91,107,-111,113,127,-133,-133,113,127,240
Welsh Open Champioships 2019,2019-10-12,Men's Senior 81Kg,Jonny Cordy,81,-96,96,100,-125,125,129,100,129,229
Welsh Open Champioships 2019,2019-10-12,Men's Senior 81Kg,Nick Jones,80.9,95,-100,-100,130,-135,-135,95,130,225
Welsh Open Champioships 2019,2019-10-12,Men's Junior Under 20 81Kg,Jacob Hill Izani,80.6,95,-100,-100,120,125,-130,95,125,220
Welsh Open Champioships 2019,2019-10-12,Men's Under 23 96Kg,Samuel Taylor,92.4,85,-91,91,120,125,-130,91,125,216
Welsh Open Champioships 2019,2019-10-12,Men's Senior 96Kg,Thomas Wain,92.8,85,90,95,115,120,-125,95,120,215
Welsh Open Champioships 2019,2019-10-12,Men's Under 23 89Kg,Darius Vahdati,88,93,98,-103,115,-120,-120,98,115,213
Welsh Open Champioships 2019,2019-10-12,Men's Junior Under 20 81Kg,Theo Morris,78.2,86,95,-101,110,117,-124,95,117,212
