event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Oxford Powersports Spring Open,2024-05-04,Men's Senior 109Kg,Andrew Griffiths,102.5,151,158,163,175,183,190,163,190,353
Oxford Powersports Spring Open,2024-05-04,Men's Senior 89Kg,Oliver Mills,88.1,105,110,-116,130,135,140,110,140,250
Oxford Powersports Spring Open,2024-05-04,Men's Senior 81Kg,Elijah Deitsch,79.7,104,107,-110,-135,135,-143,107,135,242
Oxford Powersports Spring Open,2024-05-04,Men's Senior 89Kg,Oliver Pope,88,100,105,-110,125,-131,131,105,131,236
Oxford Powersports Spring Open,2024-05-04,Men's Senior 102Kg,Nicholas Gerber,101.3,-90,90,94,117,122,127,94,127,221
Oxford Powersports Spring Open,2024-05-04,Men's Senior 81Kg,Max Southworth,78.6,88,-92,-94,118,123,127,88,127,215
Oxford Powersports Spring Open,2024-05-04,Men's Senior 73Kg,George Kinnell,68.6,89,-92,92,117,121,-124,92,121,213
Oxford Powersports Spring Open,2024-05-04,Men's Senior 102Kg,Eric Matthew,102,91,96,-100,-111,116,-120,96,116,212
Oxford Powersports Spring Open,2024-05-04,Men's Senior 96Kg,Alex Cook,96,88,-92,-92,112,-120,-120,88,112,200
Oxford Powersports Spring Open,2024-05-04,Men's Senior 96Kg,Matthew Reynolds,93.4,-75,78,85,103,110,115,85,115,200
Oxford Powersports Spring Open,2024-05-04,Men's Senior 81Kg,Anthony Weedon,80,82,86,-90,102,106,110,86,110,196
Oxford Powersports Spring Open,2024-05-04,Women's Senior 87Kg,Lottie Absolom,82.4,-88,88,-92,100,104,107,88,107,195
Oxford Powersports Spring Open,2024-05-04,Men's Senior 81Kg,Timothy Leong,79.2,80,85,-90,100,105,-110,85,105,190
Oxford Powersports Spring Open,2024-05-04,Women's Senior 71Kg,Rachel Bemrose,71,80,82,84,-105,105,-109,84,105,189
Oxford Powersports Spring Open,2024-05-04,Men's Senior 67Kg,Pedro Malva,66.4,80,-86,-88,90,96,-103,80,96,176
Oxford Powersports Spring Open,2024-05-04,Women's Senior 76Kg,Heather Barker,75.2,75,78,-81,93,96,-98,78,96,174
Oxford Powersports Spring Open,2024-05-04,Men's Youth Under 17 73Kg,Adam Asplundh,71.1,64,67,70,93,97,100,70,100,170
Oxford Powersports Spring Open,2024-05-04,Men's Senior 96Kg,Stu Widdows,96,60,65,68,90,95,100,68,100,168
Oxford Powersports Spring Open,2024-05-04,Men's Masters (55-59) 81Kg,James Marshall,79.3,65,68,71,85,90,93,71,93,164
Oxford Powersports Spring Open,2024-05-04,Women's Senior 76Kg,Erin Cook,75.8,63,66,69,80,85,90,69,90,159
Oxford Powersports Spring Open,2024-05-04,Women's Senior 64Kg,Nicole Kalinowska,63,65,68,71,84,-89,-89,71,84,155
Oxford Powersports Spring Open,2024-05-04,Women's Senior 81Kg,Lucy Castle,78.9,62,-65,66,74,78,-84,66,78,144
Oxford Powersports Spring Open,2024-05-04,Women's Senior 64Kg,Sulakhsna Gunnoo,61.4,62,-65,66,72,76,-80,66,76,142
Oxford Powersports Spring Open,2024-05-04,Men's Senior 89Kg,Nabil Choudhury,83.6,57,61,-66,75,80,81,61,81,142
Oxford Powersports Spring Open,2024-05-04,Men's Senior 89Kg,Lennin Arriola,87.8,55,57,-60,78,82,-85,57,82,139
Oxford Powersports Spring Open,2024-05-04,Women's Senior 71Kg,Cesca Baguley,70.8,61,64,-66,71,74,-79,64,74,138
Oxford Powersports Spring Open,2024-05-04,Women's Senior 64Kg,Maia Lusardi,62.7,56,59,-62,70,73,76,59,76,135
Oxford Powersports Spring Open,2024-05-04,Women's Senior 49Kg,Astrid Roberson-leech,49,54,-57,57,76,-80,-80,57,76,133
Oxford Powersports Spring Open,2024-05-04,Men's Youth Under 17 61Kg,Arthur Burnham,57.5,55,58,-60,75,-78,-78,58,75,133
Oxford Powersports Spring Open,2024-05-04,Women's Senior 59Kg,Serah Lal,58.1,58,-60,-60,-72,72,-75,58,72,130
Oxford Powersports Spring Open,2024-05-04,Women's Senior 64Kg,Eran Whyte,63.6,53,-55,-55,60,-63,63,53,63,116
Oxford Powersports Spring Open,2024-05-04,Women's Senior 64Kg,Aune Tytti Katariina Hyttinen,61.3,48,51,-53,60,63,65,51,65,116
Oxford Powersports Spring Open,2024-05-04,Women's Senior 71Kg,Tara Burt,68.3,40,45,49,55,64,-68,49,64,113
Oxford Powersports Spring Open,2024-05-04,Women's Senior 81Kg,Amy Knight,78.5,41,43,-46,58,62,65,43,65,108
Oxford Powersports Spring Open,2024-05-04,Women's Senior 64Kg,Louise Terry,63.7,43,-45,-45,-57,57,-60,43,57,100
Oxford Powersports Spring Open,2024-05-04,Women's Youth Under 17 55Kg,Chrysanthi Papadopoulou,54.2,35,38,41,50,54,57,41,57,98
Oxford Powersports Spring Open,2024-05-04,Women's Senior 71Kg,Allie Absolom,70.3,32,34,36,50,53,56,36,56,92
Oxford Powersports Spring Open,2024-05-04,Women's Youth Under 15 49Kg,Camille Le Tanter,45.4,20,22,-23,25,28,31,22,31,53
Oxford Powersports Spring Open,2024-05-04,Women's Senior 64Kg,morgan harris,60,-51,-51,-51,0,0,0,0,0,0
