event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
West Mids Summer Open,2025-07-27,Men's Senior 110Kg,Adam Smith,105,115,121,-126,140,146,-150,121,146,267
West Mids Summer Open,2025-07-27,Men's Masters (35-39) 94Kg,Yves Girod,93.3,105,110,-113,125,-128,-128,110,125,235
West Mids Summer Open,2025-07-27,Men's Masters (35-39) 94Kg,Gareth Braisdell,93.3,93,97,-101,125,128,131,97,131,228
West Mids Summer Open,2025-07-27,Men's Senior 88Kg,Ryan Davies,86.9,85,97,-101,125,128,131,97,131,228
West Mids Summer Open,2025-07-27,Men's Senior 79Kg,Charlie Trendall,74.5,80,86,-90,100,106,110,86,110,196
West Mids Summer Open,2025-07-27,Men's Youth Under 17 79Kg,sunny mayo,76.2,80,-85,85,101,-106,108,85,108,193
West Mids Summer Open,2025-07-27,Men's Junior Under 20 79Kg,Luke O’connell,78.2,80,85,-88,102,-106,108,85,108,193
West Mids Summer Open,2025-07-27,Men's Masters (35-39) 88Kg,Ed Anderson,87.6,-84,-85,85,105,-111,-112,85,105,190
West Mids Summer Open,2025-07-27,Men's Masters (55-59) 88Kg,David Evans,86,-84,-85,85,105,-111,-112,85,105,190
West Mids Summer Open,2025-07-27,Men's Senior 71Kg,Dovydas Vaitkus,70.8,-65,65,66,95,100,-105,66,100,166
West Mids Summer Open,2025-07-27,Women's Under 23 86Kg,Lucy Castle,81.9,65,-68,-71,82,-86,86,65,86,151
West Mids Summer Open,2025-07-27,Women's Senior 77Kg,Kit Palmer,75.7,60,-64,-64,78,81,84,60,84,144
West Mids Summer Open,2025-07-27,Women's Senior 86Kg,Heather James,83.4,55,58,61,75,78,81,61,81,142
West Mids Summer Open,2025-07-27,Women's Senior 69Kg,Aleksandra Kmieciak,68.85,57,60,-63,70,-74,75,60,75,135
West Mids Summer Open,2025-07-27,Women's Masters (45-49) 69Kg,Jeanette Badham,67.8,-53,53,-55,73,76,78,53,78,131
West Mids Summer Open,2025-07-27,Women's Senior 77Kg,Mayari Avendaño,75.8,49,52,-55,67,71,75,52,75,127
West Mids Summer Open,2025-07-27,Women's Masters (45-49) 63Kg,Hannah Fitzgerald,60.6,42,45,48,65,70,-73,48,70,118
West Mids Summer Open,2025-07-27,Men's Senior 79Kg,Idnaan Altaf,77.4,42,-52,-52,62,-65,75,42,75,117
West Mids Summer Open,2025-07-27,Women's Under 23 69Kg,Stephanie Ponder,66.7,41,44,47,55,61,-65,47,61,108
West Mids Summer Open,2025-07-27,Men's Masters (45-49) 88Kg,Tom Armstead ,85.1,45,-50,-50,60,61,-70,45,61,106
West Mids Summer Open,2025-07-27,Women's Masters (45-49) 77Kg,Lorna Woollery,71.5,40,43,47,53,57,-62,47,57,104
West Mids Summer Open,2025-07-27,Women's Masters (45-49) 86Kg,Steffie Kosta,77.6,40,43,47,50,55,-61,47,55,102
West Mids Summer Open,2025-07-27,Women's Masters (40-44) 63Kg,Vicki Davies,60,38,40,42,48,50,-53,42,50,92
West Mids Summer Open,2025-07-27,Women's Masters (55-59) 86Kg,Rebecca Pawlikiewicz-Peacock,77.6,30,-33,-35,35,40,45,30,45,75
West Mids Summer Open,2025-07-27,Men's Senior 79Kg,Cory Draper,77,90,-95,-95,-110,-115,-115,90,0,0
