event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Glasgow Classic 2018,2018-05-19,Men's Under 23 85Kg,Caleb McCollum,81.1,-115,115,120,145,152,-156,120,152,272
Glasgow Classic 2018,2018-05-19,Men's Junior Under 20 77Kg,Jason Epton,77,110,-115,115,-140,140,145,115,145,260
Glasgow Classic 2018,2018-05-19,Men's Senior 94Kg,Iain McCallum,91,110,-115,116,135,141,-146,116,141,257
Glasgow Classic 2018,2018-05-19,Men's Senior 85Kg,Allan Young,85,105,110,114,130,135,139,114,139,253
Glasgow Classic 2018,2018-05-19,Men's Senior 77Kg,Dimitrios Sergakis,74,104,-110,-110,125,-130,130,104,130,234
Glasgow Classic 2018,2018-05-19,Men's Under 23 77Kg,Connor Stepney,75.8,99,103,106,-125,125,-130,106,125,231
Glasgow Classic 2018,2018-05-19,Men's Senior 85Kg,Max Buchanan,84.9,98,103,-106,120,-125,-130,103,120,223
Glasgow Classic 2018,2018-05-19,Men's Senior 105Kg,Cameron Perry,96.8,80,85,90,100,-105,-105,90,100,190
Glasgow Classic 2018,2018-05-19,Men's Senior 94Kg,Scott Moffat,86.3,75,80,-85,100,106,-110,80,106,186
Glasgow Classic 2018,2018-05-19,Men's Senior 69Kg,callum watt,67.8,70,75,80,-90,90,96,80,96,176
Glasgow Classic 2018,2018-05-19,Men's Junior Under 20 77Kg,Kieran Connor,70.8,75,-80,-81,100,-105,-105,75,100,175
Glasgow Classic 2018,2018-05-19,Women's Senior 75Kg,Ružica Buzov,74.9,72,75,77,80,85,-87,77,85,162
Glasgow Classic 2018,2018-05-19,Women's Under 23 58Kg,nikki hamilton,57,70,72,-75,80,85,88,72,88,160
Glasgow Classic 2018,2018-05-19,Women's Junior Under 20 63Kg,Rowan Morrogh Bernard,60,60,62,64,80,83,86,64,86,150
Glasgow Classic 2018,2018-05-19,Women's Senior 69Kg,Emma Bruce,64.1,58,62,-65,74,78,80,62,80,142
Glasgow Classic 2018,2018-05-19,Women's Senior 90Kg,Fiona Bowles,79.9,42,46,-48,60,-64,64,46,64,110
Glasgow Classic 2018,2018-05-19,Women's Masters (40-44) 58Kg,Sheryl Paul,57.5,30,32,35,48,-52,52,35,52,87
