event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Masters (40-44) 109+Kg,Mihai Bagutiu,138.8,125,140,-150,150,165,-175,140,165,305
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Masters (35-39) 102Kg,Ashley Page,101.2,-103,103,-106,140,-145,-148,103,140,243
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Senior 102Kg,Alexander Burbridge,100.3,98,103,-110,128,-136,137,103,137,240
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Masters (35-39) 89Kg,Joshua Seymour,86.5,85,89,93,120,126,132,93,132,225
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Senior 73Kg,Kias Wilkinson-Todd,72.5,88,-91,91,130,133,-136,91,133,224
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Junior Under 20 89Kg,Michael Tuckwell,88.7,95,100,-105,113,117,-121,100,117,217
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Masters (35-39) 102Kg,Christopher Hooper,100.7,92,97,102,115,-119,-120,102,115,217
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Masters (35-39) 96Kg,James Walker,93.1,90,-95,95,110,115,120,95,120,215
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Masters (45-49) 89Kg,Russell Turner,87.3,83,-90,90,103,110,115,90,115,205
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Senior 96Kg,Ed Anderson,91.7,-79,85,-88,-112,114,-125,85,114,199
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Masters (45-49) 73Kg,Andrew Kearton,69.2,80,85,-88,102,105,-110,85,105,190
*FULL* Colchester Weightlifting Spring Open 2023,2023-03-25,Men's Senior 102Kg,Christopher Wright,100.6,-77,77,-80,107,-110,110,77,110,187
