event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
20th  Int. Women GP 2025,2025-08-23,Women's Senior 69Kg,Sarah Allan,69,-70,70,-72,-90,90,-92,70,90,160
20th  Int. Women GP 2025,2025-08-23,Women's Senior 63Kg,Eilidh MacInnes-Devine ,62.8,70,-73,-73,-85,85,-90,70,85,155
20th  Int. Women GP 2025,2025-08-23,Women's Senior 69Kg,Niamh Gallagher,68.7,65,-68,-68,80,-83,-83,65,80,145
20th  Int. Women GP 2025,2025-08-23,Women's Senior 63Kg,Hannah Rutherford,59.8,57,60,64,76,80,-83,64,80,144
20th  Int. Women GP 2025,2025-08-22,Women's Senior 86Kg,Lianne Storey,83.1,45,48,-52,-60,62,66,48,66,114
20th  Int. Women GP 2025,2025-08-22,Women's Senior 53Kg,Hayley Johnston,52.6,45,48,-50,63,65,-67,48,65,113
20th  Int. Women GP 2025,2025-08-22,Women's Masters (50-54) +86Kg,Claire Bell,103.4,42,45,48,60,63,-66,48,63,111
20th  Int. Women GP 2025,2025-08-22,Women's Masters (45-49) 86Kg,Kay Bingham,80.9,40,43,46,55,-60,60,46,60,106
20th  Int. Women GP 2025,2025-08-22,Women's Masters (35-39) 69Kg,Lyndsey  Roberts ,68.1,43,-46,-48,60,63,-66,43,63,106
20th  Int. Women GP 2025,2025-08-22,Women's Masters (35-39) 58Kg,Rachel Cunningham,54.6,41,43,45,55,-57,57,45,57,102
20th  Int. Women GP 2025,2025-08-23,Women's Senior +86Kg,Sally Hendry,99.7,35,39,-44,51,55,58,39,58,97
20th  Int. Women GP 2025,2025-08-23,Women's Senior +86Kg,Mikah Roberts,110.2,-40,40,43,48,52,-55,43,52,95
20th  Int. Women GP 2025,2025-08-22,Women's Masters (55-59) 58Kg,Laura Hunter,57.9,35,38,40,48,50,-53,40,50,90
20th  Int. Women GP 2025,2025-08-22,Women's Masters (35-39) 77Kg,Susan Connolly,75.2,30,33,35,48,-51,51,35,51,86
20th  Int. Women GP 2025,2025-08-22,Women's Masters (45-49) 63Kg,Fiona Macgrain,62.4,27,30,32,35,38,-41,32,38,70
20th  Int. Women GP 2025,2025-08-22,Women's Masters (35-39) +86Kg,Sara Boussaikouk,89.5,-53,-53,-53,63,-67,-67,0,63,0
