event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Hallam Barbell Club Open II 2018,2018-02-10,Men's Under 23 85Kg,Edward Smale,82.8,93,97,103,127,133,140,103,140,243
Hallam Barbell Club Open II 2018,2018-02-10,Men's Under 23 85Kg,liam matthews,81.8,95,102,106,125,129,135,106,135,241
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior 85Kg,Richard Stock,84,97,-103,105,126,130,-135,105,130,235
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior 69Kg,Jugal Thapa,67.8,83,87,90,105,111,116,90,116,206
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior 94Kg,Gareth Braisdell,92.6,-85,-85,85,112,115,117,85,117,202
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior +105Kg,Ben Johnson,117.6,-82,82,-88,112,-117,120,82,120,202
Hallam Barbell Club Open II 2018,2018-02-10,Men's Under 23 105Kg,Themba Kaonga,102.8,-90,90,-95,105,-110,110,90,110,200
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior 77Kg,Samuel Winter,76,80,85,-89,105,110,114,85,114,199
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior 94Kg,Matt Hollamby,90.8,75,78,81,100,-105,105,81,105,186
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior 77Kg,Luis Ruiz,73.6,70,-75,75,95,100,103,75,103,178
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior 105Kg,Richard Wilde,101.8,72,-76,76,90,95,-100,76,95,171
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior 77Kg,foyez haque,72.4,-68,68,70,90,95,-100,70,95,165
Hallam Barbell Club Open II 2018,2018-02-10,Women's Senior 75Kg,Ellis Brotherton,75,68,-73,-75,81,-85,-86,68,81,149
Hallam Barbell Club Open II 2018,2018-02-10,Women's Under 23 63Kg,Kerri Hewitt,62.6,47,50,53,67,70,72,53,72,125
Hallam Barbell Club Open II 2018,2018-02-10,Men's Junior Under 20 69Kg,Jawad Shad,64.4,45,-52,52,62,66,-71,52,66,118
Hallam Barbell Club Open II 2018,2018-02-10,Women's Under 23 58Kg,Catherine Howell,57.4,-49,50,53,59,63,65,53,65,118
Hallam Barbell Club Open II 2018,2018-02-10,Women's Senior 58Kg,Chloe Mays,56.6,45,0,0,55,0,0,45,55,100
Hallam Barbell Club Open II 2018,2018-02-10,Women's Youth Under 17 58Kg,Rachel Binns,55.8,24,27,30,35,38,41,30,41,71
Hallam Barbell Club Open II 2018,2018-02-10,Men's Senior 85Kg,Mark Knighton,83.8,-90,-90,-90,0,0,0,0,0,0
