event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
CVL - Challenge Avenir - Bourges - Hom,2024-02-10,SEN Men 67,FIETTE Laurent,66.0,-57.0,57.0,61.0,76.0,81.0,-83.0,61.0,81.0,142.0
CVL - Challenge Avenir - Bourges - Hom,2024-02-10,SEN Men 73,RODRIGUES Fabio,71.5,50.0,60.0,63.0,75.0,80.0,85.0,63.0,85.0,148.0
CVL - Challenge Avenir - Bourges - Hom,2024-02-10,SEN Men 73,AUBERGE Kaly,68.7,40.0,50.0,-60.0,60.0,70.0,-80.0,50.0,70.0,120.0
CVL - Challenge Avenir - Bourges - Hom,2024-02-10,SEN Men 73,PREVOT Alexandre,72.9,42.0,-45.0,45.0,50.0,55.0,60.0,45.0,60.0,105.0
CVL - Challenge Avenir - Bourges - Hom,2024-02-10,SEN Men 89,BERJAMIN Damien,83.7,45.0,50.0,55.0,65.0,70.0,75.0,55.0,75.0,130.0
