event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
NCAL - Challenge Avenir - Nouvelle-calédonie - Nouméa,2022-07-09,U20 Men 73,PERRAUD Mattéo,72.8,91.0,93.0,-95.0,113.0,-120.0,123.0,93.0,123.0,216.0
NCAL - Challenge Avenir - Nouvelle-calédonie - Nouméa,2022-07-09,SEN Men 55,LAO YAN Mathieu,55.0,76.0,80.0,82.0,90.0,93.0,95.0,82.0,95.0,177.0
NCAL - Challenge Avenir - Nouvelle-calédonie - Nouméa,2022-07-09,SEN Men 73,PANCHE Florian,73.0,61.0,64.0,66.0,85.0,-88.0,-90.0,66.0,85.0,151.0
NCAL - Challenge Avenir - Nouvelle-calédonie - Nouméa,2022-07-09,SEN Men 81,DUCLOS Sylvain,79.7,106.0,-110.0,-110.0,-143.0,-146.0,-146.0,106.0,-143.0,0.0
NCAL - Challenge Avenir - Nouvelle-calédonie - Nouméa,2022-07-09,SEN Men 96,LANCETTE Jeremy,91.5,88.0,92.0,95.0,110.0,-115.0,120.0,95.0,120.0,215.0
NCAL - Challenge Avenir - Nouvelle-calédonie - Nouméa,2022-07-09,SEN Men 109,MICHEL Kyle,107.7,114.0,118.0,122.0,141.0,146.0,150.0,122.0,150.0,272.0
