event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,U17 Women 45,BRUN Léanore,44.7,30.0,35.0,-37.0,25.0,-0.0,-0.0,35.0,25.0,60.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,U17 Women 64,SICARD Oceane,59.5,30.0,34.0,-36.0,38.0,41.0,-45.0,34.0,41.0,75.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,U20 Women 49,ESNAULT Célia,48.0,28.0,-30.0,-30.0,38.0,-40.0,41.0,28.0,41.0,69.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,U20 Women 59,GARNIER Camille,55.8,47.0,-50.0,50.0,58.0,61.0,-63.0,50.0,61.0,111.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 49,FORMONT Johanna,49.0,55.0,-58.0,-58.0,-70.0,70.0,-73.0,55.0,70.0,125.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 49,ROUSSEL Mylène,46.3,32.0,34.0,36.0,-44.0,44.0,48.0,36.0,48.0,84.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 55,REIGNER Delphine,53.1,50.0,-55.0,55.0,60.0,65.0,-69.0,55.0,65.0,120.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 55,GUIHAUMÉ Léna,53.2,-43.0,43.0,-46.0,51.0,-54.0,-54.0,43.0,51.0,94.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 59,ILCHUK Kateryna,58.8,74.0,78.0,80.0,84.0,88.0,-91.0,80.0,88.0,168.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 59,SADOUN Eglantine,55.6,52.0,55.0,-57.0,65.0,70.0,-73.0,55.0,70.0,125.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 59,FUIN Lucile,55.2,-45.0,45.0,-48.0,58.0,62.0,-65.0,45.0,62.0,107.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 59,RYO Juliette,56.2,38.0,40.0,42.0,-48.0,48.0,-51.0,42.0,48.0,90.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 64,MORIN Jessica,62.8,55.0,58.0,61.0,76.0,79.0,82.0,61.0,82.0,143.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 64,BARROCHE Clemence,59.6,44.0,47.0,49.0,61.0,63.0,65.0,49.0,65.0,114.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 64,BERNARD Clara,63.8,50.0,-53.0,-53.0,-55.0,55.0,60.0,50.0,60.0,110.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 64,LE COQ Maella,63.5,45.0,-48.0,-48.0,58.0,62.0,-65.0,45.0,62.0,107.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 71,CHOYER Anissa,68.4,57.0,60.0,-63.0,78.0,81.0,84.0,60.0,84.0,144.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 71,PARANT Anais,64.1,41.0,44.0,46.0,53.0,56.0,-58.0,46.0,56.0,102.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 76,COGNON Sonia,72.8,53.0,56.0,58.0,70.0,-74.0,74.0,58.0,74.0,132.0
PDL - REG 1 - Laval - chpt Rég F,2023-11-04,SEN Women 87,BODARD Suzanne,84.8,40.0,-42.0,42.0,52.0,54.0,-56.0,42.0,54.0,96.0
