event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
NDIE - Chpt Départemental - Le trait - Seine-Maritime U15 U17 U20,2023-01-28,U15 Women 59,RENAULT Alice,57.4,34.0,36.0,38.0,45.0,48.0,50.0,38.0,50.0,88.0
NDIE - Chpt Départemental - Le trait - Seine-Maritime U15 U17 U20,2023-01-28,U17 Women 55,DA SILVA CARRAJOLA Cali,50.5,23.0,25.0,-29.0,30.0,33.0,35.0,25.0,35.0,60.0
NDIE - Chpt Départemental - Le trait - Seine-Maritime U15 U17 U20,2023-01-28,U20 Women 64,GODU Lou-anne,60.7,-55.0,56.0,60.0,72.0,75.0,78.0,60.0,78.0,138.0
NDIE - Chpt Départemental - Le trait - Seine-Maritime U15 U17 U20,2023-01-28,U20 Women 71,FLAMBARD Marlyne,64.3,-49.0,-49.0,49.0,60.0,-65.0,65.0,49.0,65.0,114.0
NDIE - Chpt Départemental - Le trait - Seine-Maritime U15 U17 U20,2023-01-28,U20 Women 81,LEJEUNE Noemie,81.0,33.0,36.0,38.0,46.0,49.0,-52.0,38.0,49.0,87.0
