event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,U15 Women 59,LE NOC Orlane,55.3,34.0,36.0,-38.0,43.0,-46.0,-46.0,36.0,43.0,79.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,U17 Women 59,BEDEIR LARADE Safana,58.8,42.0,-46.0,-46.0,-55.0,55.0,-60.0,42.0,55.0,97.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,U20 Women 59,HERBIN Vinciane,58.8,38.0,41.0,-44.0,46.0,49.0,-51.0,41.0,49.0,90.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,U20 Women 64,MORO Ingrid,61.7,50.0,54.0,-56.0,62.0,-65.0,65.0,54.0,65.0,119.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 49,RESTREPO Luna,48.2,41.0,44.0,-46.0,54.0,-56.0,56.0,44.0,56.0,100.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 59,COHEN Alice,59.0,52.0,-56.0,-56.0,63.0,66.0,-70.0,52.0,66.0,118.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 59,ZAVLYANOVA Maria,58.2,52.0,-55.0,-55.0,62.0,65.0,-68.0,52.0,65.0,117.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 59,DUJARDIN Carla,55.2,-40.0,40.0,45.0,65.0,-68.0,-70.0,45.0,65.0,110.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 59,COCHET Anne,55.3,42.0,45.0,47.0,53.0,55.0,58.0,47.0,58.0,105.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 59,CALLOUD Marion,56.5,42.0,-45.0,45.0,-58.0,58.0,-62.0,45.0,58.0,103.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 64,CHIRON Julie,62.2,45.0,50.0,53.0,55.0,60.0,65.0,53.0,65.0,118.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 64,LE NOC Lucile,62.5,49.0,-50.0,-53.0,-63.0,-63.0,-63.0,49.0,0.0,49.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 71,MAINCENT Laetitia,65.7,-60.0,-60.0,60.0,70.0,75.0,78.0,60.0,78.0,138.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 71,GAMEIRO Eva,67.3,35.0,37.0,-40.0,47.0,50.0,-53.0,37.0,50.0,87.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 76,LE VIENNESSE Marjorie,73.5,53.0,55.0,57.0,69.0,71.0,-73.0,57.0,71.0,128.0
IDF - REG 1 - Chelles - 3 eme tour EQUIPES FEMMES VGA/HCVM,2023-01-14,SEN Women 87,SIMOENS Celia,81.5,40.0,45.0,50.0,55.0,-65.0,65.0,50.0,65.0,115.0
