event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,U17 Men 67,MARTIN Gabriel,62.1,-65.0,65.0,70.0,85.0,90.0,-95.0,70.0,90.0,160.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,U17 Men 102,VINCENT Gaetan,100.5,80.0,85.0,90.0,110.0,115.0,-120.0,90.0,115.0,205.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,U20 Men 81,MATHIOT Hugo,76.7,85.0,90.0,-94.0,112.0,117.0,-120.0,90.0,117.0,207.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,U20 Men 81,BADIER Remy,76.9,65.0,70.0,-75.0,86.0,-91.0,92.0,70.0,92.0,162.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 67,OLIVEIRA Robin,64.6,65.0,72.0,75.0,83.0,88.0,-92.0,75.0,88.0,163.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 81,JEGAN Thaya,76.1,95.0,99.0,103.0,115.0,120.0,126.0,103.0,126.0,229.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 81,PAYEUR Aurélien,73.3,72.0,78.0,-84.0,95.0,102.0,-108.0,78.0,102.0,180.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 81,BOURDENET Cyrille,75.6,65.0,68.0,-71.0,83.0,86.0,-88.0,68.0,86.0,154.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 89,AUBRY Stephane,85.4,92.0,98.0,-102.0,110.0,-115.0,115.0,98.0,115.0,213.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 89,STUMPF Fabien,88.25,80.0,88.0,-92.0,100.0,110.0,115.0,88.0,115.0,203.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 89,GILBIN Alexandre,86.5,80.0,86.0,88.0,105.0,-110.0,110.0,88.0,110.0,198.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 96,OUENICH Ahmed,91.5,68.0,73.0,80.0,100.0,107.0,110.0,80.0,110.0,190.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 96,BENKADOUM Yaniss,91.7,70.0,-75.0,-75.0,91.0,-95.0,95.0,70.0,95.0,165.0
BFC - REG 1 - Luxeuil - 1°J,2022-09-24,SEN Men 109,BOFFY Matthieu,107.7,105.0,-110.0,-110.0,125.0,135.0,-140.0,105.0,135.0,240.0
