event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
AURA - Challenge Avenir - St Marcellin - U15 & U17,2022-03-05,U15 Men 49,GONNIN Maximilien,45.2,-20.0,-20.0,20.0,23.0,26.0,-30.0,20.0,26.0,46.0
AURA - Challenge Avenir - St Marcellin - U15 & U17,2022-03-05,U15 Men 61,GAULT-AMAZONAS Tigane,60.3,26.0,-29.0,-29.0,33.0,36.0,39.0,26.0,39.0,65.0
AURA - Challenge Avenir - St Marcellin - U15 & U17,2022-03-05,U15 Men 73,BOUCHAUD Paco,70.15,35.0,37.0,39.0,48.0,51.0,54.0,39.0,54.0,93.0
AURA - Challenge Avenir - St Marcellin - U15 & U17,2022-03-05,U15 Men 73,FRANDON Nils,72.7,20.0,23.0,-26.0,25.0,28.0,-31.0,23.0,28.0,51.0
AURA - Challenge Avenir - St Marcellin - U15 & U17,2022-03-05,U17 Men 67,BELLE Luc,64.45,35.0,37.0,39.0,49.0,52.0,55.0,39.0,55.0,94.0
