event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,U17 Men 81,ROGUET Thomas,80.1,82.0,85.0,87.0,105.0,108.0,110.0,87.0,110.0,197.0
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,U20 Men 89,TERRIER Killian,82.8,100.0,-105.0,105.0,125.0,130.0,-135.0,105.0,130.0,235.0
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,SEN Men 81,COGNON Theo,76.7,103.0,107.0,110.0,130.0,135.0,138.0,110.0,138.0,248.0
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,SEN Men 81,CROSNIER Adrien,78.8,103.0,108.0,111.0,130.0,-135.0,135.0,111.0,135.0,246.0
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,SEN Men 81,COGNON Jonathan,79.9,-103.0,103.0,107.0,130.0,135.0,138.0,107.0,138.0,245.0
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,SEN Men 81,MONTHULE-BIRER Théo,80.1,85.0,90.0,-96.0,105.0,110.0,-115.0,90.0,110.0,200.0
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,SEN Men 81,ALIX Clément,73.5,65.0,-70.0,72.0,-95.0,98.0,-102.0,72.0,98.0,170.0
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,SEN Men 96,HEMERY Dimitri,90.9,100.0,-105.0,-106.0,127.0,134.0,-138.0,100.0,134.0,234.0
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,SEN Men 96,LESAINT Romain,89.1,80.0,-85.0,85.0,110.0,115.0,120.0,85.0,120.0,205.0
PDL - REG 1 -  NAT3 OUEST - LAVAL - 2ème JOURNÉE.,2022-11-05,SEN Men 102,DUCHEMANE Nelson,100.1,95.0,100.0,-102.0,115.0,122.0,126.0,100.0,126.0,226.0
