event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
BRE - Chpt Départemental - Finistère - PLOUHINEC,2023-12-16,M40 M 81,DELOUVEE Johan,76.35,85.0,-90.0,-90.0,101.0,-108.0,-110.0,85.0,101.0,186.0
BRE - Chpt Départemental - Finistère - PLOUHINEC,2023-12-16,M40 M 81,LE ROUSSEAU Guillaume,75.7,77.0,-80.0,80.0,95.0,-100.0,-100.0,80.0,95.0,175.0
BRE - Chpt Départemental - Finistère - PLOUHINEC,2023-12-16,M40 M 81,TROUILLE Julien,80.85,77.0,-82.0,-82.0,97.0,-104.0,-109.0,77.0,97.0,174.0
