event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
PDL - autre - Savenay - championnat regional jeunes,2023-10-14,U15 M 49,GRANGER Lucas,48.3,47.0,50.0,52.0,60.0,63.0,-65.0,52.0,63.0,115.0
PDL - autre - Savenay - championnat regional jeunes,2023-10-14,U15 M 55,BELLIER--BARREAU Mathis,51.6,42.0,45.0,48.0,53.0,-57.0,60.0,48.0,60.0,108.0
PDL - autre - Savenay - championnat regional jeunes,2023-10-14,U15 M 81,NORMAND Enzo,73.2,65.0,69.0,-71.0,77.0,-81.0,82.0,69.0,82.0,151.0
