event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,U17 Men 81,SEILER Aymeric,78.8,45.0,-49.0,50.0,60.0,64.0,67.0,50.0,67.0,117.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,U17 Men 81,BOUCHER Nathan,80.65,41.0,45.0,48.0,52.0,56.0,60.0,48.0,60.0,108.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,U17 Men >102,VINCENT Gaetan,104.0,83.0,88.0,-92.0,110.0,-115.0,-118.0,88.0,110.0,198.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 67,OLIVEIRA Robin,63.38,70.0,74.0,-76.0,85.0,90.0,94.0,74.0,94.0,168.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 73,CITAS Raphael,72.3,110.0,-115.0,115.0,145.0,-150.0,-150.0,115.0,145.0,260.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 73,OPY Valentin,70.95,62.0,68.0,-70.0,82.0,88.0,93.0,68.0,93.0,161.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 73,BOREL Leo,71.4,60.0,65.0,70.0,75.0,-80.0,81.0,70.0,81.0,151.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 73,SERVELLE Gael,72.9,58.0,61.0,64.0,75.0,80.0,-84.0,64.0,80.0,144.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 81,BOURDENET Cyrille,75.3,65.0,70.0,-72.0,84.0,-88.0,-89.0,70.0,84.0,154.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 89,CARABETTA Guillaume,87.8,110.0,118.0,122.0,140.0,147.0,155.0,122.0,155.0,277.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 89,CARDEY Léo,86.1,105.0,110.0,115.0,130.0,135.0,139.0,115.0,139.0,254.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 89,NICOLIN Aslam,88.05,100.0,-104.0,-105.0,120.0,128.0,136.0,100.0,136.0,236.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 89,AUBRY Stephane,83.2,93.0,97.0,100.0,-115.0,115.0,-116.0,100.0,115.0,215.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 89,STUMPF Fabien,87.7,-85.0,88.0,-92.0,111.0,115.0,-118.0,88.0,115.0,203.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 89,BRECHET Benoit,88.8,80.0,-85.0,85.0,102.0,110.0,-115.0,85.0,110.0,195.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 102,GVOZDENOVIC Michel,101.95,105.0,115.0,-125.0,135.0,-150.0,150.0,115.0,150.0,265.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 102,LEFEBVRE Lionel,100.05,110.0,120.0,-125.0,135.0,144.0,-150.0,120.0,144.0,264.0
BFC - REG 1 - Granges narboz - 2°J,2022-10-15,SEN Men 102,CHEVALIER Damien,98.4,-90.0,90.0,95.0,-115.0,-120.0,120.0,95.0,120.0,215.0
