event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
NTWA Open/Masters Competition,2017-07-02,female,Jana Landong,47.04,-43,45,48,58,60,63,48,63,111,AUS
NTWA Open/Masters Competition,2017-07-02,female,Melody Fleming,49.58,32,-35,37,52,55,57,37,57,94,AUS
NTWA Open/Masters Competition,2017-07-02,female,Mickayla Perkins,56.96,-35,38,40,45,50,-55,40,50,90,AUS
NTWA Open/Masters Competition,2017-07-02,female,Chloe King,57.54,32,35,-37,40,43,46,35,46,81,AUS
NTWA Open/Masters Competition,2017-07-02,female,Stacy Wagman,57.92,55,58,60,-70,72,75,60,75,135,AUS
NTWA Open/Masters Competition,2017-07-02,female,Kelly Giblin,58.42,45,48,50,62,65,-68,50,65,115,AUS
NTWA Open/Masters Competition,2017-07-02,female,Dacqmar Guasloine,66.05,40,42,45,55,60,65,45,65,110,AUS
NTWA Open/Masters Competition,2017-07-02,female,Rennae Griffith,65.95,35,40,-43,50,-55,57,40,57,97,AUS
NTWA Open/Masters Competition,2017-07-02,female,Tamara Camilleri,70.65,55,-60,60,-78,78,80,60,80,140,AUS
NTWA Open/Masters Competition,2017-07-02,female,Winnie Leefe,86.20,30,35,45,50,60,70,45,70,115,AUS
NTWA Open/Masters Competition,2017-07-02,female,Nyree Slatter,154.40,35,38,40,53,57,60,40,60,100,AUS
NTWA Open/Masters Competition,2017-07-02,female,Leah Chandler,88.10,36,38,40,45,48,52,40,52,92,AUS
NTWA Open/Masters Competition,2017-07-02,male,Matt Watterson,71.85,50,60,65,70,80,85,65,85,150,AUS
NTWA Open/Masters Competition,2017-07-02,male,Grant Ackermann,83.65,65,-70,75,85,-90,-90,75,85,160,AUS
NTWA Open/Masters Competition,2017-07-02,male,Luke Fleming,87.60,80,-85,87,90,100,107,87,107,194,AUS
NTWA Open/Masters Competition,2017-07-02,male,Tom Hewitt-Jones,92.75,-100,105,110,130,-132,135,110,135,245,AUS
NTWA Open/Masters Competition,2017-07-02,male,Christopher Sanchez,92.50,78,82,86,108,112,117,86,117,203,AUS
NTWA Open/Masters Competition,2017-07-02,male,Simon Myers,93.90,92,96,100,-125,125,-130,100,125,225,AUS
NTWA Open/Masters Competition,2017-07-02,male,Mitch Munro,94.30,85,92,-100,115,122,-127,92,122,214,AUS
NTWA Open/Masters Competition,2017-07-02,male,Wayne Franklin,103.85,-85,85,-90,110,115,120,85,120,205,AUS
