event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Grizzly Club Comp ,2021-04-18,female,Skye Baxter,58.95,50,55,58,-68,70,72,58,72,130,AUS
Grizzly Club Comp ,2021-04-18,female,Ebony Goldfinch,56.55,35,38,40,42,46,50,40,50,90,AUS
Grizzly Club Comp ,2021-04-18,female,Rebecca Berardelli,63.25,55,60,63,70,75,80,63,80,143,AUS
Grizzly Club Comp ,2021-04-18,female,Melissa Daly,68.65,55,58,61,68,71,-74,61,71,132,AUS
Grizzly Club Comp ,2021-04-18,female,Jasmine Stimson,85.05,71,76,-81,98,-102,-103,76,98,174,AUS
Grizzly Club Comp ,2021-04-18,male,Chris Tingley,60.30,35,38,-40,42,45,48,38,48,86,AUS
Grizzly Club Comp ,2021-04-18,male,William Forward,73.20,68,-71,71,78,-82,82,71,82,153,AUS
Grizzly Club Comp ,2021-04-18,male,Adrian Frankling,94.10,85,88,92,100,106,-111,92,106,198,AUS
Grizzly Club Comp ,2021-04-18,male,Suamili Nanai,126.85,150,-155,-155,185,-200,200,150,200,350,AUS
Grizzly Club Comp ,2021-04-18,male,Dylan Bergin,109.85,140,143,145,165,-170,170,145,170,315,AUS
