event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,female,Rachel Mcclure,58.00,43,-47,48,54,58,61,48,61,109,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,female,Chelsea Freier,54.20,33,37,-40,43,47,-49,37,47,84,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,female,Abbey Hughes,68.70,53,57,60,65,-70,70,60,70,130,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,female,Janine Pye,67.50,-32,32,34,42,46,48,34,48,82,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,female,Sonia Stenhouse,57.20,32,35,38,42,47,49,38,49,87,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,David Hockins,62.90,70,74,78,95,100,105,78,105,183,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Sean Turner,71.00,56,60,62,76,81,86,62,86,148,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Benjamin Shaw,83.00,118,123,127,147,152,155,127,155,282,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Brent Vaughan,84.50,78,82,-86,105,110,-115,82,110,192,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Shane Wagner,92.20,115,120,123,140,-147,-147,123,140,263,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Adam Hoyes,89.10,86,90,-93,112,117,-120,90,117,207,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Joshua Acason,91.30,49,52,54,67,70,73,54,73,127,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Jace Russell,88.70,36,39,41,45,50,53,41,53,94,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Andrew Taylor,98.70,85,90,92,112,117,120,92,120,212,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Aden Creed,96.60,-75,80,-82,100,105,-110,80,105,185,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Samuel Little,109.10,75,80,83,103,107,110,83,110,193,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Paul Grieco,107.40,-66,66,-70,83,86,-90,66,86,152,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Greg Hobl,78.50,67,72,76,87,92,95,76,95,171,AUS
JME Qld Club Challenge Round 1 – Toowoomba,2015-03-21,male,Chris Kassulke,82.10,55,58,-60,83,85,-88,58,85,143,AUS
