event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Phoenix Ian Laurie Cup ,2015-09-19,female,Emily Scott,49.40,52,56,-59,65,70,-73,56,70,126,AUS
Phoenix Ian Laurie Cup ,2015-09-19,female,Natalia Chorobczyk,52.65,48,-54,-55,63,67,-70,48,67,115,AUS
Phoenix Ian Laurie Cup ,2015-09-19,female,Emily Shaw,55.60,44,48,50,55,60,-63,50,60,110,AUS
Phoenix Ian Laurie Cup ,2015-09-19,female,Holli Lawler,62.15,53,-55,-55,60,64,-66,53,64,117,AUS
Phoenix Ian Laurie Cup ,2015-09-19,female,Elisha Huke,59.45,45,48,50,60,63,-65,50,63,113,AUS
Phoenix Ian Laurie Cup ,2015-09-19,female,Youlin Koh,58.60,38,42,45,50,-55,-55,45,50,95,AUS
Phoenix Ian Laurie Cup ,2015-09-19,female,Jessica Partridge,64.70,68,72,75,85,-90,,75,85,160,AUS
Phoenix Ian Laurie Cup ,2015-09-19,female,Prue Delalande,66.45,65,-68,70,76,80,83,70,83,153,AUS
Phoenix Ian Laurie Cup ,2015-09-19,female,Clare Cherry,74.35,77,-80,-80,97,101,-104,77,101,178,AUS
Phoenix Ian Laurie Cup ,2015-09-19,female,Taryn Mazzarella,79.20,47,-50,50,,,,50,0,0,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Dylan Mcgann,68.75,-80,80,85,-105,105,110,85,110,195,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Dexter Chiew,64.95,80,85,88,95,100,105,88,105,193,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Simon Obery,67.60,80,85,-90,-105,-105,105,85,105,190,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Lester Ho,76.55,80,85,-90,100,105,110,85,110,195,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Konrad Cybulski,73.75,70,75,78,95,100,103,78,103,181,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Samuel Katz,74.45,80,-85,-85,95,100,,80,100,180,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Cao Tran,74.00,72,-78,78,90,95,98,78,98,176,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Andy Huynh,77.00,65,-70,70,85,90,95,70,95,165,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Matthew Pit,83.15,115,-120,-120,145,-151,151,115,151,266,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Adriel Mangohig,82.05,115,-120,-120,145,-150,-152,115,145,260,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Lewis Ronan,83.90,95,-98,98,120,125,-127,98,125,223,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Reece Jones,77.30,93,-98,-98,115,120,-125,93,120,213,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Esmail Amini,84.50,-85,85,90,105,-112,-112,90,105,195,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Brendan Tuck,83.00,78,-83,83,-98,100,-107,83,100,183,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Andrew Sandbach,78.45,80,-85,-85,100,-107,-107,80,100,180,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Alan Xue,81.80,68,73,75,90,95,97,75,97,172,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Nicodemus Scheelings,92.10,122,128,-134,150,-155,-155,128,150,278,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Asher Reichman,88.35,95,102,105,130,135,-140,105,135,240,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Colin Sanders,92.70,95,102,-107,125,132,-135,102,132,234,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Kieran Hogan,88.45,95,100,105,120,125,-130,105,125,230,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Zac Grgurevic,104.85,-133,138,-142,170,-175,-180,138,170,308,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Geordie Biss,104.55,120,125,128,145,-150,-150,128,145,273,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Luke Stone,99.80,100,105,,135,140,,105,140,245,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Damian Willis,98.00,84,90,95,107,112,-115,95,112,207,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Alexander Marcou,99.00,-87,-87,90,107,112,115,90,115,205,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Bailey Wilson,97.45,65,-70,-73,-85,85,-90,65,85,150,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Joshua Quinn,119.90,-128,131,135,162,-167,170,135,170,305,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Jordan Steffens,140.35,120,127,132,150,160,172,132,172,304,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Matthew Johns,114.15,105,-110,-110,125,-130,-130,105,125,230,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Tiew Kai Ting,76.95,95,100,104,120,-126,-126,104,120,224,AUS
Phoenix Ian Laurie Cup ,2015-09-19,male,Warren Hellisen,101.00,105,-112,-112,140,150,-163,105,150,255,AUS
