event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
NTWA Australia Day Open,2013-01-27,female,Amy Griggs,59.04,45,48,50,55,58,62,50,62,112,AUS
NTWA Australia Day Open,2013-01-27,female,Marnie Becker,66.55,-58,58,-63,70,73,76,58,76,134,AUS
NTWA Australia Day Open,2013-01-27,female,Julia Janus,67.75,25,27,30,33,35,37,30,37,67,AUS
NTWA Australia Day Open,2013-01-27,female,Samantha Drescher,74.90,55,57,60,70,75,80,60,80,140,AUS
NTWA Australia Day Open,2013-01-27,female,Salli Cohen,70.35,20,25,-30,30,35,-38,25,35,60,AUS
NTWA Australia Day Open,2013-01-27,female,Leanne Goldsworthy,72.10,36,38,-40,44,46,-48,38,46,84,AUS
NTWA Australia Day Open,2013-01-27,male,Adrian James,66.80,70,75,77,85,90,95,77,95,172,AUS
NTWA Australia Day Open,2013-01-27,male,Orlando Mau,62.25,50,-55,-58,-75,75,-78,50,75,125,AUS
NTWA Australia Day Open,2013-01-27,male,Aaron Griggs,75.30,80,85,-90,105,110,-112,85,110,195,AUS
NTWA Australia Day Open,2013-01-27,male,Trevor Kerr,83.35,75,80,83,90,97,103,83,103,186,AUS
NTWA Australia Day Open,2013-01-27,male,Michael Jones,83.10,35,37,40,40,45,50,40,50,90,AUS
NTWA Australia Day Open,2013-01-27,male,Stuart Peace,99.25,50,55,56,75,80,85,56,85,141,AUS
NTWA Australia Day Open,2013-01-27,male,Gary Bui,112.65,70,78,82,90,95,105,82,105,187,AUS
NTWA Australia Day Open,2013-01-27,male,Graham Walker,61.25,70,-77,77,90,97,-101,77,97,174,AUS
NTWA Australia Day Open,2013-01-27,male,Terrence Munro,64.00,40,-45,-45,50,55,-58,40,55,95,AUS
NTWA Australia Day Open,2013-01-27,male,Briant Clark,81.90,60,65,70,90,-100,-100,70,90,160,AUS
