event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Grizzly’s,2019-03-17,female,Kristy Barr,57.70,-47,47,50,55,60,65,50,65,115,AUS
Grizzly’s,2019-03-17,female,Simone Le Dilly,63.40,39,41,-43,49,52,54,41,54,95,AUS
Grizzly’s,2019-03-17,female,Natasha Bernard,66.30,46,-49,49,65,69,-72,49,69,118,AUS
Grizzly’s,2019-03-17,female,Tara Pratt,83.50,75,78,82,95,98,100,82,100,182,AUS
Grizzly’s,2019-03-17,male,Naruhiro Hori,72.50,80,84,86,106,109,111,86,111,197,AUS
Grizzly’s,2019-03-17,male,Daniel Kural,80.90,86,90,-94,108,112,116,90,116,206,AUS
Grizzly’s,2019-03-17,male,Yosuke Kotani,77.40,75,80,-85,105,-110,-110,80,105,185,AUS
Grizzly’s,2019-03-17,male,Evan Dorr,86.30,90,94,97,117,122,-125,97,122,219,AUS
Grizzly’s,2019-03-17,male,Brendan Kennedy,91.80,84,-88,-88,105,110,-115,84,110,194,AUS
Grizzly’s,2019-03-17,male,Thomas Murrell,102.00,-56,56,-61,-82,82,-85,56,82,138,AUS
