event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
NTWA Open Competition,2012-07-15,female,Marnie Becker,63.38,0,0,0,0,0,0,43,60,103
NTWA Open Competition,2012-07-15,female,Stephanie Donovan,63.66,0,0,0,0,0,0,42,50,92
NTWA Open Competition,2012-07-15,female,Julia Janus,64.36,0,0,0,0,0,0,27,30,57
NTWA Open Competition,2012-07-15,female,Lisa Menchetti,60.54,0,0,0,0,0,0,60,70,130
NTWA Open Competition,2012-07-15,male,Cian Gray,67.40,0,0,0,0,0,0,65,95,160
NTWA Open Competition,2012-07-15,male,Luong Xuan,76.58,0,0,0,0,0,0,65,95,160
NTWA Open Competition,2012-07-15,male,Kyle Spiteri,85.10,0,0,0,0,0,0,102,125,227
NTWA Open Competition,2012-07-15,male,Greg Clift,90.42,0,0,0,0,0,0,80,110,190
NTWA Open Competition,2012-07-15,male,Terrence Munro,67.40,0,0,0,0,0,0,40,55,95
NTWA Open Competition,2012-07-15,male,Carl O'Donnell,84.92,0,0,0,0,0,0,65,80,145
