event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Cougars Club Competition,2017-03-11,female,Robin Parr,44.04,33,36,-39,46,49,52,36,52,88,AUS
Cougars Club Competition,2017-03-11,female,Lauren Hastings,45.72,30,32,34,40,42,45,34,45,79,AUS
Cougars Club Competition,2017-03-11,female,Maia Ratana-Leef,47.34,22,25,27,30,34,-38,27,34,61,AUS
Cougars Club Competition,2017-03-11,female,Mia Johnson,46.80,20,22,24,28,31,33,24,33,57,AUS
Cougars Club Competition,2017-03-11,female,Tahlia Cobb,46.14,17,20,22,22,25,28,22,28,50,AUS
Cougars Club Competition,2017-03-11,female,Brittney Kleyn,51.66,25,26,27,35,38,-40,27,38,65,AUS
Cougars Club Competition,2017-03-11,female,Desree Barnes,52.14,20,25,30,30,35,-40,30,35,65,AUS
Cougars Club Competition,2017-03-11,female,Mia Delos,57.14,45,47,50,55,60,65,50,65,115,AUS
Cougars Club Competition,2017-03-11,female,Julie Hind,60.96,57,61,63,67,-71,-72,63,67,130,AUS
Cougars Club Competition,2017-03-11,female,Brittany Gibson,61.04,35,39,41,52,56,-62,41,56,97,AUS
Cougars Club Competition,2017-03-11,female,Sarah Price,60.60,34,37,40,49,52,-55,40,52,92,AUS
Cougars Club Competition,2017-03-11,female,Briony Boath,62.54,30,36,40,37,-42,46,40,46,86,AUS
Cougars Club Competition,2017-03-11,female,Coral Quinell,63.20,36,38,40,46,-48,-48,40,46,86,AUS
Cougars Club Competition,2017-03-11,female,Purdey Noll,66.98,50,53,56,-80,80,85,56,85,141,AUS
Cougars Club Competition,2017-03-11,female,Asako Ono,67.14,50,53,-56,70,73,76,53,76,129,AUS
Cougars Club Competition,2017-03-11,female,Emily Farren,68.96,35,38,40,41,44,-50,40,44,84,AUS
Cougars Club Competition,2017-03-11,female,Alexandra Kovacs,66.24,-32,32,35,-43,43,46,35,46,81,AUS
Cougars Club Competition,2017-03-11,female,Alana Evans,64.90,-52,52,55,-65,-65,-65,55,0,0,AUS
Cougars Club Competition,2017-03-11,female,Lenor Whiley,70.70,49,53,56,61,66,-69,56,66,122,AUS
Cougars Club Competition,2017-03-11,female,Kylie Smith,64.66,50,-53,-53,60,-63,-65,50,60,110,AUS
Cougars Club Competition,2017-03-11,female,Olivia Lohan,71.10,67,-70,70,78,83,-85,70,83,153,AUS
Cougars Club Competition,2017-03-11,female,Alicia Shaw,74.28,45,-50,-50,60,65,70,45,70,115,AUS
Cougars Club Competition,2017-03-11,female,Deborah Acason,83.18,75,80,85,98,105,109,85,109,194,AUS
Cougars Club Competition,2017-03-11,female,Cassie Todd,77.66,67,70,72,93,97,-100,72,97,169,AUS
Cougars Club Competition,2017-03-11,female,Sara Seagrave,77.40,45,49,-53,70,74,76,49,76,125,AUS
Cougars Club Competition,2017-03-11,female,Katia Rasera,85.34,50,-53,-53,70,-72,72,50,72,122,AUS
Cougars Club Competition,2017-03-11,male,Jett Gaffney,55.10,45,50,53,65,69,72,53,72,125,AUS
Cougars Club Competition,2017-03-11,male,Lochlan Roberts,43.98,32,35,-37,43,47,-50,35,47,82,AUS
Cougars Club Competition,2017-03-11,male,Sam Catlow-Elliott,51.16,17,20,23,25,29,32,23,32,55,AUS
Cougars Club Competition,2017-03-11,male,Chance Saunders,32.64,15,16,17,17,20,23,17,23,40,AUS
Cougars Club Competition,2017-03-11,male,Morgan Spencer,67.08,56,60,62,70,73,-76,62,73,135,AUS
Cougars Club Competition,2017-03-11,male,Jonathan Pakchung,75.56,103,107,112,123,127,132,112,132,244,AUS
Cougars Club Competition,2017-03-11,male,Michael Shippley,76.64,90,95,100,115,120,-125,100,120,220,AUS
Cougars Club Competition,2017-03-11,male,Samuel Mcphail,75.28,73,77,-80,96,100,-103,77,100,177,AUS
Cougars Club Competition,2017-03-11,male,Adam Blair,75.32,75,-80,-80,-90,95,98,75,98,173,AUS
Cougars Club Competition,2017-03-11,male,Ian Kennedy,74.10,-68,68,73,80,85,87,73,87,160,AUS
Cougars Club Competition,2017-03-11,male,Brendan Lam,76.60,-65,65,70,81,85,90,70,90,160,AUS
Cougars Club Competition,2017-03-11,male,Shane Johnson,72.98,-68,68,-73,-80,80,84,68,84,152,AUS
Cougars Club Competition,2017-03-11,male,Joel Richards,71.02,57,61,65,70,75,80,65,80,145,AUS
Cougars Club Competition,2017-03-11,male,Alexander Loft,74.44,25,28,30,35,39,42,30,42,72,AUS
Cougars Club Competition,2017-03-11,male,Robert Davison,76.14,80,85,90,115,-120,-125,90,115,205,AUS
Cougars Club Competition,2017-03-11,male,Philip Chan,84.48,78,85,91,110,116,120,91,120,211,AUS
Cougars Club Competition,2017-03-11,male,Mackenzie Barrington-Jacobi,84.32,38,42,45,42,46,-50,45,46,91,AUS
Cougars Club Competition,2017-03-11,male,Dane Pannowitz,83.72,22,25,29,30,35,38,29,38,67,AUS
