event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Geelong Open & Youth GP 3,2018-04-21,female,Alyssa Pigram,48.80,21,23,24,28,31,33,24,33,57
Geelong Open & Youth GP 3,2018-04-21,female,Monika Endres,52.92,54,-56,57,67,-70,-70,57,67,124
Geelong Open & Youth GP 3,2018-04-21,female,Bianca Zanghi,59.46,32,-34,34,45,49,-52,34,49,83
Geelong Open & Youth GP 3,2018-04-21,female,Toni Lane,61.70,55,-58,-60,74,-77,-77,55,74,129
Geelong Open & Youth GP 3,2018-04-21,female,Elaine Janes,62.72,19,-20,20,25,-27,27,20,27,47
Geelong Open & Youth GP 3,2018-04-21,female,Margaret Webb,82.16,51,-54,-54,56,-59,59,51,59,110
Geelong Open & Youth GP 3,2018-04-21,female,Deena Henaway,76.20,40,43,-45,50,-54,56,43,56,99
Geelong Open & Youth GP 3,2018-04-21,male,Joel Wood,39.30,26,28,30,43,-46,46,30,46,76
Geelong Open & Youth GP 3,2018-04-21,male,Nicholas Cairns,49.56,15,16,-17,17,18,19,16,19,35
Geelong Open & Youth GP 3,2018-04-21,male,Benjamin Silva,66.86,75,78,-80,95,-100,-101,78,95,173
Geelong Open & Youth GP 3,2018-04-21,male,Joe Hiram,75.90,85,90,-95,115,120,-125,90,120,210
Geelong Open & Youth GP 3,2018-04-21,male,Alexander Mifsud,76.68,63,65,67,77,80,-82,67,80,147
Geelong Open & Youth GP 3,2018-04-21,male,Sam Storer,80.36,80,86,95,110,115,120,95,120,215
Geelong Open & Youth GP 3,2018-04-21,male,Matthew Bellett,83.40,82,85,-87,102,105,107,85,107,192
Geelong Open & Youth GP 3,2018-04-21,male,Adam Waleryszek,83.04,68,-71,-73,95,98,105,68,105,173
Geelong Open & Youth GP 3,2018-04-21,male,Kieran Pringle,88.28,-70,70,-75,85,90,93,70,93,163
