event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
North Brisbane Open Competition,2015-12-05,male,Rebecca Glenister,61.10,42,45,-48,60,64,-67,45,64,109,AUS
North Brisbane Open Competition,2015-12-05,female,Krystie Beaumont,80.75,-65,65,-70,85,88,-90,65,88,153,AUS
North Brisbane Open Competition,2015-12-05,female,Rebecca Smith,85.30,33,36,39,43,46,-49,39,46,85,AUS
North Brisbane Open Competition,2015-12-05,female,Julie Davis,52.60,26,27,28,38,39,40,28,40,68,AUS
North Brisbane Open Competition,2015-12-05,female,Colleen Duplock,53.00,26,-27,27,32,-34,34,27,34,61,AUS
North Brisbane Open Competition,2015-12-05,female,Lesley Moyle,61.25,27,-28,28,38,40,-42,28,40,68,AUS
North Brisbane Open Competition,2015-12-05,female,Tina Eilola,93.85,46,48,-51,63,-65,-66,48,63,111,AUS
North Brisbane Open Competition,2015-12-05,male,Ben Paris,68.90,81,85,88,104,108,111,88,111,199,AUS
North Brisbane Open Competition,2015-12-05,male,Matt Howie,88.40,62,64,65,75,80,-90,65,80,145,AUS
North Brisbane Open Competition,2015-12-05,male,Rohan Cuffe,95.80,102,107,111,130,-136,141,111,141,252,AUS
North Brisbane Open Competition,2015-12-05,male,Mitchell Levy,103.40,55,57,58,75,-77,-77,58,75,133,AUS
North Brisbane Open Competition,2015-12-05,male,Adam Meek,99.30,-96,-96,-96,121,-126,-126,0,121,0,AUS
North Brisbane Open Competition,2015-12-05,male,Clint Winchester,67.70,40,43,45,55,58,-60,45,58,103,AUS
