event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Manaia Kainuku,49.00,50,52,-53,57,60,-63,52,60,112,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Gabrielle Mclean,49.60,37,40,-43,51,-55,-55,40,51,91,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Junko Matsuzaki,51.90,25,27,29,35,38,39,29,39,68,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Katrina Birch,57.95,65,70,-73,86,90,92,70,92,162,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Charlotte Saxton,58.85,45,48,51,55,60,63,51,63,114,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Emily Cook,56.95,33,35,37,43,45,47,37,47,84,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Hannah Brown,60.65,-61,61,64,79,82,-85,64,82,146,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Rhonda Ofarrell,63.80,57,61,64,75,78,-81,64,78,142,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Sharni Quinsee,62.40,49,54,57,62,67,-69,57,67,124,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Rhaienne Eiffler,60.30,48,52,-57,63,-67,71,52,71,123,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Samantha Peak,63.40,-50,50,53,62,65,68,53,68,121,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Ellie Spowart,63.80,47,-50,50,60,64,-70,50,64,114,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Skye Baxter,60.95,-45,45,-50,60,65,-70,45,65,110,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Ruby Carwardine,70.55,-75,75,78,96,100,-105,78,100,178,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Tanaya Quinsee,68.70,-61,61,-67,79,83,-86,61,83,144,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Jacki Garland,69.35,-47,47,49,66,-70,71,49,71,120,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Evie Snook,64.75,45,48,-50,55,58,60,48,60,108,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Teleah Canavate-Blankendaal,67.75,46,-49,-51,-55,-55,55,46,55,101,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Stephanie Meredith,75.40,52,56,-60,-68,70,-75,56,70,126,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Ashton Hoover,73.20,38,40,42,48,51,53,42,53,95,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Tara Pratt,79.75,-84,-84,84,-105,105,110,84,110,194,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Danielle Speedy,80.45,35,37,40,50,55,-57,40,55,95,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,female,Olivia Humble,81.65,21,23,-26,30,35,-38,23,35,58,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Justin Gibney,60.00,68,72,75,90,93,97,75,97,172,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Noah Russell,65.10,74,-78,-80,101,106,-113,74,106,180,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Glenn Mace,66.75,57,61,-63,70,75,-80,61,75,136,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Benjamin La Cunza-Watson,71.30,65,-70,70,85,90,93,70,93,163,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Oliver Saxton,80.70,110,-115,115,-130,130,140,115,140,255,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Michael Carmellotti,78.00,82,87,-92,115,120,-125,87,120,207,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Jett Hoover,79.65,48,52,55,-62,65,67,55,67,122,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Adam Mcwhinnie,87.20,40,44,47,60,64,66,47,66,113,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,David James,93.00,135,141,-147,165,171,176,141,176,317,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Samuel Tate,101.25,-62,62,-65,85,86,87,62,87,149,AUS
WWA Under 15 & Youth Championships + July Open Competition,2020-07-19,male,Suamili Nanai,124.45,130,135,140,-171,171,177,140,177,317,AUS
