event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
VWA Open incl Masters GP 2,2019-09-14,female,Laura Stevens,50.05,27,31,-36,38,43,-47,31,43,74,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Natalia Chorobczyk,56.50,64,68,72,80,85,90,72,90,162,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Teegan Goding,57.95,58,62,65,70,74,77,65,77,142,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Tammy Hicks,57.65,60,64,-67,72,76,-80,64,76,140,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Danielle Bagacay,62.60,54,57,60,-72,72,76,60,76,136,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Sarah Florence,63.80,-57,-57,57,-67,67,-71,57,67,124,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Katrina Jorna,63.30,40,43,-46,50,-54,54,43,54,97,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Rebecca Lim,63.10,30,35,38,50,54,-57,38,54,92,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Tamzin Hare,67.85,52,-55,55,70,-75,75,55,75,130,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Olivia Greco,74.60,46,50,54,60,65,70,54,70,124,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Crystal Ting,73.70,48,51,-54,58,61,-65,51,61,112,AUS
VWA Open incl Masters GP 2,2019-09-14,female,Sophie Popkiss,80.25,60,-63,-64,70,-73,73,60,73,133,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Damien Hewish,55.00,50,55,60,70,75,-80,60,75,135,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Jefferson Ang Shi Wee,56.25,60,-65,65,70,-73,73,65,73,138,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Jacob Sanderson,66.15,65,70,75,90,95,100,75,100,175,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Peter Archimandritis,72.05,100,-105,-105,-125,125,130,100,130,230,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Luis Evangelista,78.35,68,73,77,83,87,91,77,91,168,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Isaac Parlas,75.90,60,-65,65,85,90,95,65,95,160,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Hamish Duncan,79.00,-80,-80,-80,100,-105,105,0,105,0,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Tom Le Grice,79.85,44,47,51,-65,-67,-67,51,0,0,AUS
VWA Open incl Masters GP 2,2019-09-14,male,James Hargreaves,85.75,97,102,106,120,126,-130,106,126,232,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Brendan Sharpe,83.30,95,100,-102,-115,115,-122,100,115,215,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Jordan Akbari,83.90,70,74,-79,94,97,101,74,101,175,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Daniel Mcdonald,88.75,65,67,70,-95,-95,97,70,97,167,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Kristof Rottiers,82.05,-68,68,-72,-80,80,85,68,85,153,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Debjyoti Karmakar,85.85,62,66,-70,73,78,82,66,82,148,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Mark Ursu,91.45,90,94,-96,108,113,-115,94,113,207,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Reza Shams,93.60,85,-92,-92,110,115,120,85,120,205,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Matthew Shute,94.05,72,76,-81,100,105,110,76,110,186,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Kurt Elstone,108.50,75,-79,-82,80,85,91,75,91,166,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Shaun Fielder,139.15,52,56,-60,70,80,-90,56,80,136,AUS
VWA Open incl Masters GP 2,2019-09-14,male,Bryce Webb,148.10,45,50,-55,50,60,-70,50,60,110,AUS
